"","DistrictName","DistrictCode","KinderTotal2018"
"1","Abby Kelley Foster Charter Public (District)",4450000,117
"2","Abington",10000,137
"3","Acton-Boxborough",6000000,352
"4","Acushnet",30000,108
"5","Adams-Cheshire",6030000,85
"6","Agawam",50000,233
"7","Alma del Mar Charter School (District)",4090000,50
"8","Amesbury",70000,145
"9","Amherst",80000,121
"10","Andover",90000,363
"11","Arlington",100000,522
"12","Ashburnham-Westminster",6100000,151
"13","Ashland",140000,202
"14","Athol-Royalston",6150000,124
"15","Atlantis Charter (District)",4910000,107
"16","Attleboro",160000,425
"17","Auburn",170000,167
"18","Avon",180000,48
"19","Ayer Shirley School District",6160000,142
"20","Barnstable",200000,314
"21","Barnstable Community Horace Mann Charter Public (District)",4270000,85
"22","Bedford",230000,197
"23","Belchertown",240000,158
"24","Bellingham",250000,156
"25","Belmont",260000,320
"26","Benjamin Banneker Charter Public (District)",4200000,49
"27","Benjamin Franklin Classical Charter Public (District)",4470000,50
"28","Bentley Academy Charter School (District)",35110000,59
"29","Berkley",270000,77
"30","Berkshire Hills",6180000,84
"31","Berlin",280000,27
"32","Beverly",300000,364
"33","Billerica",310000,353
"34","Blackstone-Millville",6220000,129
"35","Boston",350000,4001
"36","Boston Renaissance Charter Public (District)",4810000,131
"37","Bourne",360000,119
"38","Boxford",380000,80
"39","Boylston",390000,39
"40","Braintree",400000,356
"41","Brewster",410000,54
"42","Bridge Boston Charter School (District)",4170000,39
"43","Bridgewater-Raynham",6250000,384
"44","Brimfield",430000,32
"45","Brockton",440000,1261
"46","Brooke Charter School (District)",4280000,178
"47","Brookfield",450000,40
"48","Brookline",460000,609
"49","Burlington",480000,299
"50","Cambridge",490000,646
"51","Canton",500000,221
"52","Carlisle",510000,63
"53","Carver",520000,119
"54","Central Berkshire",6350000,100
"55","Chelmsford",560000,368
"56","Chelsea",570000,513
"57","Chesterfield-Goshen",6320000,19
"58","Chicopee",610000,552
"59","Clarksburg",630000,31
"60","Clinton",640000,146
"61","Codman Academy Charter Public (District)",4380000,19
"62","Cohasset",650000,95
"63","Collegiate Charter School of Lowell (District)",35030000,99
"64","Community Day Charter Public School - Gateway (District)",4260000,40
"65","Community Day Charter Public School - Prospect (District)",4400000,46
"66","Community Day Charter Public School - R. Kingman Webster (District)",4310000,42
"67","Concord",670000,220
"68","Conservatory Lab Charter (District)",4390000,49
"69","Conway",680000,13
"70","Danvers",710000,258
"71","Dartmouth",720000,252
"72","Dedham",730000,173
"73","Deerfield",740000,51
"74","Dennis-Yarmouth",6450000,207
"75","Dighton-Rehoboth",6500000,193
"76","Douglas",770000,79
"77","Dover",780000,61
"78","Dracut",790000,313
"79","Dudley Street Neighborhood Charter School (District)",4070000,38
"80","Dudley-Charlton Reg",6580000,267
"81","Duxbury",820000,173
"82","East Bridgewater",830000,160
"83","East Longmeadow",870000,187
"84","Eastham",850000,24
"85","Easthampton",860000,111
"86","Easton",880000,243
"87","Edgartown",890000,38
"88","Erving",910000,11
"89","Everett",930000,492
"90","Fairhaven",940000,130
"91","Fall River",950000,873
"92","Falmouth",960000,247
"93","Farmington River Reg",6620000,16
"94","Fitchburg",970000,418
"95","Florida",980000,4
"96","Foxborough",990000,173
"97","Foxborough Regional Charter (District)",4460000,130
"98","Framingham",1000000,720
"99","Franklin",1010000,307
"100","Freetown-Lakeville",6650000,208
"101","Gardner",1030000,205
"102","Gateway",6720000,71
"103","Georgetown",1050000,98
"104","Gill-Montague",6740000,93
"105","Gloucester",1070000,221
"106","Grafton",1100000,217
"107","Granby",1110000,43
"108","Greenfield",1140000,162
"109","Groton-Dunstable",6730000,149
"110","Hadley",1170000,24
"111","Halifax",1180000,94
"112","Hamilton-Wenham",6750000,146
"113","Hampden-Wilbraham",6800000,172
"114","Hancock",1210000,4
"115","Hanover",1220000,154
"116","Harvard",1250000,64
"117","Hatfield",1270000,20
"118","Haverhill",1280000,524
"119","Hawlemont",6850000,25
"120","Hill View Montessori Charter Public (District)",4550000,36
"121","Hilltown Cooperative Charter Public (District)",4500000,20
"122","Hingham",1310000,289
"123","Holbrook",1330000,95
"124","Holland",1350000,29
"125","Holliston",1360000,200
"126","Holyoke",1370000,377
"127","Holyoke Community Charter (District)",4530000,78
"128","Hopedale",1380000,73
"129","Hopkinton",1390000,202
"130","Hudson",1410000,210
"131","Hull",1420000,62
"132","Ipswich",1440000,130
"133","KIPP Academy Boston Charter School (District)",4630000,62
"134","KIPP Academy Lynn Charter (District)",4290000,122
"135","Kingston",1450000,146
"136","Lanesborough",1480000,25
"137","Lawrence",1490000,980
"138","Lawrence Family Development Charter (District)",4540000,85
"139","Lee",1500000,63
"140","Leicester",1510000,107
"141","Lenox",1520000,34
"142","Leominster",1530000,404
"143","Leverett",1540000,12
"144","Lexington",1550000,412
"145","Lincoln",1570000,121
"146","Littleton",1580000,145
"147","Longmeadow",1590000,173
"148","Lowell",1600000,1138
"149","Lowell Community Charter Public (District)",4560000,96
"150","Ludlow",1610000,149
"151","Lunenburg",1620000,109
"152","Lynn",1630000,1166
"153","Lynnfield",1640000,170
