"DistrictName","DistrictCode","KinderTotal2018","KinderTotal2020"
"North Brookfield",2150000,41,39
"North Middlesex",7350000,210,236
"North Reading",2170000,179,196
"Northampton",2100000,188,183
"Northborough",2130000,139,172
"Northbridge",2140000,156,162
"Norton",2180000,178,165
"Norwell",2190000,143,168
"Norwood",2200000,283,272
"Oak Bluffs",2210000,29,35
"Old Sturbridge Academy Charter Public School (District)",35150000,40,40
"Orange",2230000,72,66
"Orleans",2240000,37,22
"Oxford",2260000,105,102
"Palmer",2270000,104,95
"Peabody",2290000,450,487
"Pelham",2300000,16,13
"Pembroke",2310000,182,177
"Pentucket",7450000,162,173
"Petersham",2340000,8,22
"Pioneer Charter School of Science (District)",4940000,67,60
"Pioneer Valley",7500000,60,35
"Pioneer Valley Chinese Immersion Charter (District)",4970000,44,44
"Pittsfield",2360000,467,390
"Plainville",2380000,92,85
"Plymouth",2390000,496,486
"Plympton",2400000,30,40
"Prospect Hill Academy Charter (District)",4870000,85,80
"Provincetown",2420000,7,9
"Quabbin",7530000,154,172
"Quaboag Regional",7780000,87,77
"Quincy",2430000,754,768
"Randolph",2440000,232,226
"Reading",2460000,293,318
"Revere",2480000,577,544
"Richmond",2490000,18,18
"River Valley Charter (District)",4820000,32,34
"Rochester",2500000,73,55
"Rockland",2510000,164,172
"Rockport",2520000,52,49
"Rowe",2530000,8,11
"Sabis International Charter (District)",4410000,107,105
"Salem",2580000,287,298
"Sandwich",2610000,164,155
"Saugus",2620000,188,178
"Savoy",2630000,9,7
"Scituate",2640000,211,221
"Seekonk",2650000,140,156
"Seven Hills Charter Public (District)",4860000,61,75
"Sharon",2660000,214,242
"Sherborn",2690000,49,65
"Shrewsbury",2710000,354,359
"Shutesbury",2720000,11,17
"Somerset",2730000,168,149
"Somerville",2740000,427,432
"South Hadley",2780000,133,126
"South Shore Charter Public (District)",4880000,77,75
"Southampton",2750000,57,60
"Southborough",2760000,130,140
"Southbridge",2770000,166,168
"Southern Berkshire",7650000,42,48
"Southwick-Tolland-Granville Regional School District",7660000,102,92
"Spencer-E Brookfield",7670000,112,116
"Springfield",2810000,1880,1835
"Springfield Preparatory Charter School (District)",35100000,53,54
"Stoneham",2840000,173,178
"Stoughton",2850000,243,255
"Sturbridge",2870000,109,107
"Sudbury",2880000,242,279
"Sunderland",2890000,33,28
"Sutton",2900000,92,93
"Swampscott",2910000,159,162
"Swansea",2920000,157,153
"Taunton",2930000,595,582
"TEC Connections Academy Commonwealth Virtual School District",39020000,37,38
"Tewksbury",2950000,234,247
"Tisbury",2960000,24,32
"Topsfield",2980000,82,79
"Triton",7730000,162,160
