"year","region","abbreviation","totalballots","vap","vep"
"2018","new mexico","NM","701654","1649040","1534009"
"2018","new york","NY","6230959","15781905","14065548"
"2018","north carolina","NC","3755778","8250784","7714163"
"2018","north dakota","ND","330598","589705","572340"
"2018","ohio","OH","4496834","9242288","8957602"
"2018","oklahoma","OK","1190000","3139581","2957188"
"2018","oregon","OR","1914923","3435202","3231440"
"2018","pennsylvania","PA","5043029","10308998","9892681"
"2018","rhode island","RI","381267","872055","810424"
"2018","south carolina","SC","1726527","4050712","3875625"
"2018","south dakota","SD","341048","674801","652752"
"2018","tennessee","TN","2267428","5355697","5097443"
"2018","texas","TX","8375000","21707688","18583176"
"2018","utah","UT","1082972","2286384","2145200"
"2018","vermont","VT","278230","517261","507071"
"2018","virginia","VA","3363505","6803102","6320649"
"2018","washington","WA","3133448","6121085","5507718"
"2018","west virginia","WV","597149","1455147","1427249"
"2018","wisconsin","WI","2675000","4600750","4391359"
"2018","wyoming","WY","205275","451168","433354"
"2016","alabama","AL","2134061","3770952","3609696"
"2016","alaska","AK","321271","554526","521888"
"2016","arizona","AZ","2661497","5347427","4755584"
"2016","arkansas","AR","1137772","2287921","2142344"
"2016","california","CA","14610509","30130155","25058420"
"2016","colorado","CO","2859216","4301685","3971805"
"2016","connecticut","CT","1675955","2827488","2589090"
"2016","delaware","DE","445228","748217","690153"
"2016","district of columbia","DC","312575","565352","517863"
"2016","florida","FL","9580489","16533216","14577798"
"2016","georgia","GA","4165405","7831741","6960129"
"2016","hawaii","HI","437664","1120762","1013299"
"2016","idaho","ID","710545","1256143","1169396"
"2016","illinois","IL","5666118","9887574","9005114"
"2016","indiana","IN","2807676","5072700","4860062"
"2016","iowa","IA","1581371","2404019","2285860"
"2016","kansas","KS","1225667","2196904","2058729"
"2016","kentucky","KY","1955195","3430752","3282543"
"2016","louisiana","LA","2049531","3563801","3378229"
"2016","maine","ME","771892","1079197","1059772"
"2016","maryland","MD","2807322","4663738","4182300"
"2016","massachusetts","MA","3378801","5453921","4959742"
"2016","michigan","MI","4874619","7765389","7437567"
"2016","minnesota","MN","2968281","4242668","3975066"
"2016","mississippi","MS","1209357","2268353","2192233"
"2016","missouri","MO","2811549","4709176","4516733"
"2016","montana","MT","516901","816023","802436"
"2016","nebraska","NE","860573","1435123","1342336"
"2016","nevada","NV","1125429","2260341","1948712"
"2016","new hampshire","NH","755850","1082981","1048757"
"2016","new jersey","NJ","3957303","6903418","5961240"
"2016","new mexico","NM","804043","1600627","1473243"
"2016","new york","NY","7786881","15473628","13525950"
"2016","north carolina","NC","4769640","7898733","7370213"
"2016","north dakota","ND","349945","579842","565295"
"2016","ohio","OH","5607641","9028098","8759758"
"2016","oklahoma","OK","1465505","2972077","2784673"
"2016","oregon","OR","2056310","3233909","3015007"
"2016","pennsylvania","PA","6223150","10114662","9692322"
"2016","rhode island","RI","469589","848850","785544"
"2016","south carolina","SC","2123584","3881185","3705927"
"2016","south dakota","SD","378995","651179","628468"
"2016","tennessee","TN","2545271","5162937","4906550"
"2016","texas","TX","8975000","20718271","17482785"
"2016","utah","UT","1152369","2139328","1985869"
"2016","vermont","VT","320467","505888","494758"
"2016","virginia","VA","3996302","6556247","6030589"
"2016","washington","WA","3363440","5693791","5123557"
"2016","west virginia","WV","732362","1454560","1424155"
"2016","wisconsin","WI","2993000","4493054","4280628"
"2016","wyoming","WY","258788","446228","429694"
"2014","alabama","AL","1191274","3740624","3573542"
"2014","alaska","AK","285431","550095","517252"
"2014","arizona","AZ","1537671","5138141","4553713"
"2014","arkansas","AR","852642","2264098","2122776"
"2014","california","CA","7513972","29575685","24413353"
"2014","colorado","CO","2080071","4132930","3814437"
"2014","connecticut","CT","1096556","2822985","2572824"
"2014","delaware","DE","238110","731850","674793"
"2014","district of columbia","DC","177176","549851","499265"
"2014","florida","FL","6026802","15897657","14001044"
"2014","georgia","GA","2596947","7613021","6732653"
"2014","hawaii","HI","369554","1109048","1004622"
"2014","idaho","ID","445307","1205909","1119588"
"2014","illinois","IL","3680417","9893765","8986543"
