"DIST_NAME","SY","kindercount"
"Deerfield",2023,28
"Dennis-Yarmouth",2018,111
"Dennis-Yarmouth",2019,144
"Dennis-Yarmouth",2020,126
"Dennis-Yarmouth",2021,113
"Dennis-Yarmouth",2022,127
"Dennis-Yarmouth",2023,129
"Douglas",2018,79
"Douglas",2019,85
"Douglas",2020,98
"Douglas",2021,60
"Douglas",2022,79
"Douglas",2023,75
"Dover",2018,61
"Dover",2019,75
"Dover",2020,78
"Dover",2021,61
"Dover",2022,82
"Dover",2023,76
"Dracut",2018,100
"Dracut",2019,77
"Dracut",2020,87
"Dracut",2021,97
"Dracut",2022,166
"Dracut",2023,163
"Dudley Street Neighborhood Charter School",2018,38
"Dudley Street Neighborhood Charter School",2019,33
"Dudley Street Neighborhood Charter School",2020,41
"Dudley Street Neighborhood Charter School",2021,47
"Dudley Street Neighborhood Charter School",2022,41
"Dudley Street Neighborhood Charter School",2023,42
"Dudley-Charlton",2018,267
"Dudley-Charlton",2019,251
"Dudley-Charlton",2020,246
"Dudley-Charlton",2021,218
"Dudley-Charlton",2022,236
"Dudley-Charlton",2023,203
"Duxbury",2018,173
"Duxbury",2019,177
"Duxbury",2020,182
"Duxbury",2021,185
"Duxbury",2022,176
"Duxbury",2023,203
"East Bridgewater",2018,160
"East Bridgewater",2019,142
"East Bridgewater",2020,149
"East Bridgewater",2021,134
"East Bridgewater",2022,146
"East Bridgewater",2023,126
"East Longmeadow",2018,187
"East Longmeadow",2019,163
"East Longmeadow",2020,181
"East Longmeadow",2021,139
"East Longmeadow",2022,171
"East Longmeadow",2023,157
"Eastham",2018,24
"Eastham",2019,24
"Eastham",2020,32
"Eastham",2021,21
"Eastham",2022,34
"Eastham",2023,30
"Easthampton",2018,40
"Easthampton",2019,43
"Easthampton",2020,41
"Easthampton",2021,34
"Easthampton",2022,33
"Easthampton",2023,101
"Easton",2018,243
"Easton",2019,234
"Easton",2020,224
"Easton",2021,146
"Easton",2022,151
"Easton",2023,198
"Edgartown",2018,38
"Edgartown",2019,37
"Edgartown",2020,45
"Edgartown",2021,40
"Edgartown",2022,34
"Edgartown",2023,39
"Erving",2018,11
"Erving",2019,15
"Erving",2020,18
"Erving",2021,14
"Erving",2022,19
"Erving",2023,12
"Fairhaven",2018,130
"Fairhaven",2019,117
"Fairhaven",2020,116
"Fairhaven",2021,115
"Fairhaven",2022,113
"Fairhaven",2023,108
"Fall River",2018,543
"Fall River",2019,516
"Fall River",2020,651
"Fall River",2021,535
"Fall River",2022,629
"Fall River",2023,617
"Falmouth",2018,54
"Falmouth",2019,38
"Falmouth",2020,85
"Falmouth",2021,76
"Falmouth",2022,99
"Falmouth",2023,88
"Farmington River",2018,16
"Farmington River",2019,15
"Farmington River",2020,13
"Farmington River",2021,16
