"DIST_NAME","SY","kindercount"
"Ware",2021,68
"Ware",2022,76
"Ware",2023,76
"Watertown",2018,242
"Watertown",2019,245
"Watertown",2020,221
"Watertown",2021,87
"Watertown",2022,112
"Watertown",2023,119
"Webster",2018,140
"Webster",2019,151
"Webster",2020,157
"Webster",2021,91
"Webster",2022,127
"Webster",2023,132
"West Boylston",2018,65
"West Boylston",2019,68
"West Boylston",2020,62
"West Boylston",2021,40
"West Boylston",2022,74
"West Boylston",2023,66
"West Bridgewater",2018,79
"West Bridgewater",2019,114
"West Bridgewater",2020,95
"West Bridgewater",2021,113
"West Bridgewater",2022,92
"West Bridgewater",2023,103
"Westborough",2018,77
"Westborough",2019,97
"Westborough",2020,79
"Westborough",2021,95
"Westborough",2022,78
"Westborough",2023,76
"Westhampton",2018,8
"Westhampton",2019,16
"Westhampton",2020,13
"Westhampton",2021,8
"Westhampton",2022,14
"Westhampton",2023,14
"Weston",2018,117
"Weston",2019,139
"Weston",2020,128
"Weston",2021,116
"Weston",2022,141
"Weston",2023,174
"Westport",2018,103
"Westport",2019,102
"Westport",2020,105
"Westport",2021,99
"Westport",2022,112
"Westport",2023,106
"Whately",2018,17
"Whately",2019,17
"Whately",2020,16
"Whately",2021,17
"Whately",2022,14
"Whately",2023,20
"Williamsburg",2018,16
"Williamsburg",2019,18
"Williamsburg",2020,19
"Williamsburg",2021,6
"Williamsburg",2022,13
"Williamsburg",2023,13
"Wilmington",2018,269
"Wilmington",2019,226
"Wilmington",2020,245
"Wilmington",2021,196
"Wilmington",2022,210
"Wilmington",2023,180
"Winchester",2018,153
"Winchester",2019,149
"Winchester",2020,144
"Winchester",2021,111
"Winchester",2022,126
"Winchester",2023,111
"Winthrop",2018,146
"Winthrop",2019,154
"Winthrop",2020,162
"Winthrop",2021,124
"Winthrop",2022,147
"Winthrop",2023,141
"Woburn",2018,96
"Woburn",2019,102
"Woburn",2020,109
"Woburn",2021,82
"Woburn",2022,83
"Woburn",2023,115
"Worcester",2018,1185
"Worcester",2019,1224
"Worcester",2020,1187
"Worcester",2021,940
"Worcester",2022,1044
"Worcester",2023,1121
"Worthington",2018,13
"Worthington",2019,10
"Worthington",2020,10
"Worthington",2021,10
"Worthington",2022,6
"Worthington",2023,12
"Wrentham",2018,130
"Wrentham",2019,106
"Wrentham",2020,109
"Wrentham",2021,102
"Wrentham",2022,126
"Wrentham",2023,124
