"grass","happy","satlife","hlthphys","hlthmntl","unhappy","depress","cesd1","hopeless","restless","wrthless","nervous","satsoc","year"
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","very happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","very happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","not too happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","very happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","very happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","not too happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","not too happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should be legal","very happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should be legal","very happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","very happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","not too happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","very happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","very happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should be legal","not too happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","not too happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","not too happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","not too happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","very happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","not too happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","not too happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","very happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","not too happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","not too happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","very happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should be legal","not too happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","very happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","very happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","very happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","very happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should be legal","very happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","not too happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","very happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should be legal","very happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","not too happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","very happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should be legal","not too happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","not too happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","not too happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
NA,"not too happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should be legal","very happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","very happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","not too happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","very happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","very happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","very happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","very happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","not too happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","very happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","not too happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","very happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","not too happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
NA,"pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","not too happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","very happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
NA,"very happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","very happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","very happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","not too happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","very happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","not too happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","very happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","very happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","not too happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","very happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","very happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","very happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","very happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","very happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","very happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","very happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","very happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","very happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","very happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","not too happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","not too happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","very happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","very happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should be legal","not too happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","very happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","very happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","very happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","very happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","not too happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","very happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","very happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should be legal","not too happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","very happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","very happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
NA,"very happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","very happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
NA,"pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should be legal","very happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","not too happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","very happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","very happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","not too happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","very happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","not too happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should be legal","very happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","not too happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","very happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should be legal","very happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","very happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","very happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","not too happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","very happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","very happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
NA,"pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should be legal","very happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","not too happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","very happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should be legal","very happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should be legal","not too happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","not too happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","very happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","not too happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","very happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","not too happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","not too happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","very happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should be legal","very happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
NA,"pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","not too happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","very happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","very happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","not too happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should be legal","not too happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should be legal","not too happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","not too happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","very happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","very happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should be legal","pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should not be legal","very happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
"should be legal","very happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973
NA,"very happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974
NA,"very happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974
NA,"very happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974
NA,"pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974
NA,"pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974
NA,"pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974
NA,"very happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974
NA,"very happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974
NA,"very happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974
NA,"very happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974
NA,"pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974
NA,"very happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974
NA,"pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974
NA,"pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974
NA,"very happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974
NA,"very happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974
NA,"very happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974
NA,"pretty happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974
