DistrictName,DistrictCode,KinderTotal2020
Rockland,02510000,172
Rockport,02520000,49
Rowe,02530000,11
Sabis International Charter (District),04410000,105
Salem,02580000,298
Sandwich,02610000,155
Saugus,02620000,178
Savoy,02630000,7
Scituate,02640000,221
Seekonk,02650000,156
Seven Hills Charter Public (District),04860000,75
Sharon,02660000,242
Sherborn,02690000,65
Shrewsbury,02710000,359
Shutesbury,02720000,17
Somerset,02730000,149
Somerville,02740000,432
South Hadley,02780000,126
South Shore Charter Public (District),04880000,75
Southampton,02750000,60
Southborough,02760000,140
Southbridge,02770000,168
Southern Berkshire,07650000,48
Southwick-Tolland-Granville Regional School District,07660000,92
Spencer-E Brookfield,07670000,116
Springfield,02810000,1835
Springfield Preparatory Charter School (District),35100000,54
Stoneham,02840000,178
Stoughton,02850000,255
Sturbridge,02870000,107
Sudbury,02880000,279
Sunderland,02890000,28
Sutton,02900000,93
Swampscott,02910000,162
Swansea,02920000,153
TEC Connections Academy Commonwealth Virtual School District,39020000,38
Taunton,02930000,582
Tewksbury,02950000,247
Tisbury,02960000,32
Topsfield,02980000,79
Triton,07730000,160
Truro,03000000,12
Tyngsborough,03010000,116
UP Academy Charter School of Dorchester (District),35050000,59
Up-Island Regional,07740000,32
Uxbridge,03040000,127
Wachusett,07750000,423
Wakefield,03050000,261
Wales,03060000,16
Walpole,03070000,266
Waltham,03080000,438
Ware,03090000,86
Wareham,03100000,198
Watertown,03140000,221
Wayland,03150000,202
Webster,03160000,157
Wellesley,03170000,327
Wellfleet,03180000,19
West Boylston,03220000,62
West Bridgewater,03230000,95
West Springfield,03320000,282
Westborough,03210000,253
Westfield,03250000,371
Westford,03260000,273
Westhampton,03270000,13
Weston,03300000,128
Westport,03310000,105
Westwood,03350000,170
Weymouth,03360000,360
Whately,03370000,16
Whitman-Hanson,07800000,238
Williamsburg,03400000,19
Wilmington,03420000,245
Winchendon,03430000,95
Winchester,03440000,333
Winthrop,03460000,162
Woburn,03470000,330
Worcester,03480000,2025
Worthington,03490000,10
Wrentham,03500000,109
,,
