"City","StartHour","PropRides"
"Boston",0,0.0119428757309906
"Boston",1,0.00958022613931806
"Boston",2,0.00510439927310615
"Boston",3,0.00164113651761103
"Boston",4,0.00187837979959057
"Boston",5,0.00592863624245774
"Boston",6,0.0174924118836872
"Boston",7,0.0415420324167264
"Boston",8,0.0697666455511993
"Boston",9,0.0498235350227338
"Boston",10,0.0407985070793885
"Boston",11,0.0459664973352932
"Boston",12,0.0522815710886042
"Boston",13,0.0504129745171365
"Boston",14,0.0526826834416418
"Boston",15,0.0579485059787753
"Boston",16,0.0771872240823944
"Boston",17,0.102743461746355
"Boston",18,0.0910842996309277
"Boston",19,0.0703438560104485
"Boston",20,0.0539520572905839
"Boston",21,0.0396122906694908
"Boston",22,0.0293521301756334
"Boston",23,0.0209336623759059
"Portland",0,0.0118165431604246
"Portland",1,0.00690967354296014
"Portland",2,0.00500700981373923
"Portland",3,0.00200280392549569
"Portland",4,0.00350490686961746
"Portland",5,0.00710995393550971
"Portland",6,0.0104145804125776
"Portland",7,0.0269377127979171
"Portland",8,0.0491688363709193
"Portland",9,0.0392549569397156
"Portland",10,0.0408572000801122
"Portland",11,0.0600841177648708
"Portland",12,0.0660925295413579
"Portland",13,0.0690967354296014
"Portland",14,0.0712998197476467
"Portland",15,0.080012016823553
"Portland",16,0.0797115962347286
"Portland",17,0.0868215501702383
"Portland",18,0.0759062687762868
"Portland",19,0.0660925295413579
"Portland",20,0.0486681353895454
"Portland",21,0.039054676547166
"Portland",22,0.031644302022832
"Portland",23,0.0225315441618266
