household_id,state,husband_age,husband_total_income,wife_age,wife_total_income
136288,Oregon,NA,NA,45,4000
137177,Washington,NA,NA,55,0
139238,Oregon,37,45000,NA,NA
139703,Washington,NA,NA,62,22800
141767,Washington,NA,NA,34,0
143003,Oregon,40,65000,NA,NA
144387,Washington,NA,NA,62,104000
144860,Oregon,44,85000,NA,NA
145000,Oregon,NA,NA,65,15000
146466,Oregon,NA,NA,32,23000
147813,Washington,NA,NA,37,204
148366,Washington,NA,NA,80,14400
148872,Washington,NA,NA,50,2400
149971,Oregon,NA,NA,87,13500
151563,Washington,68,4800,NA,NA
151901,Oregon,NA,NA,73,10400
153207,Oregon,60,20000,NA,NA
153553,Washington,NA,NA,63,13400
153699,Oregon,34,0,NA,NA
153709,Oregon,NA,NA,64,10200
154307,Washington,42,80000,NA,NA
154343,Washington,45,90000,40,16000
154388,Washington,NA,NA,39,0
154758,Oregon,NA,NA,36,60000
155982,Oregon,NA,NA,74,10100
156194,Washington,NA,NA,58,53000
158523,Washington,NA,NA,60,60000
158601,Washington,58,0,NA,NA
159121,Washington,41,121000,NA,NA
160838,Washington,55,80000,NA,NA
161081,Oregon,73,6100,NA,NA
163500,Washington,NA,NA,39,86000
164734,Oregon,30,15800,NA,NA
165545,Oregon,55,125000,NA,NA
165558,Washington,49,45000,NA,NA
165800,Washington,50,85000,NA,NA
167071,Oregon,68,11000,NA,NA
167824,Oregon,NA,NA,77,9900
169280,Washington,68,32000,NA,NA
170118,Washington,NA,NA,41,1
170620,Washington,NA,NA,57,42000
171529,Washington,NA,NA,37,2400
173607,Oregon,NA,NA,58,34200
174224,Oregon,64,65000,NA,NA
174250,Washington,NA,NA,64,145000
174282,Oregon,46,0,NA,NA
174613,Washington,NA,NA,41,46000
175366,Oregon,NA,NA,68,14400
175696,Oregon,44,29100,NA,NA
176052,Washington,56,50000,NA,NA
176221,Washington,40,22000,NA,NA
176488,Oregon,NA,NA,57,28100
177342,Oregon,NA,NA,83,17300
178127,Washington,67,85600,NA,NA
179009,Washington,NA,NA,44,90010
179230,Washington,61,85000,NA,NA
179329,Oregon,43,86600,NA,NA
179956,Washington,50,110000,NA,NA
180065,Washington,35,138700,NA,NA
180737,Washington,45,102000,NA,NA
180955,Washington,NA,NA,29,0
181340,Washington,67,29000,NA,NA
182467,Oregon,65,76100,NA,NA
183067,Washington,44,467000,NA,NA
183192,Washington,NA,NA,49,55000
184310,Washington,54,33000,NA,NA
185295,Washington,74,250200,NA,NA
185635,Washington,75,262600,NA,NA
187306,Washington,53,129000,NA,NA
187662,Oregon,NA,NA,39,0
188372,Oregon,NA,NA,58,15100
188430,Oregon,NA,NA,54,46000
188532,Oregon,NA,NA,33,38000
189589,Washington,NA,NA,54,52000
191045,Washington,51,240000,NA,NA
191276,Washington,NA,NA,74,11000
192811,Washington,NA,NA,53,3600
193267,Oregon,NA,NA,57,0
194801,Washington,NA,NA,71,14400
195096,Oregon,NA,NA,59,130500
195246,Washington,62,60000,NA,NA
195699,Oregon,47,92070,NA,NA
198468,Washington,NA,NA,62,110150
200071,Washington,NA,NA,50,127000
200870,Washington,83,49100,NA,NA
201427,Oregon,NA,NA,49,0
201909,Oregon,51,55000,NA,NA
202243,Washington,NA,NA,72,9900
204249,Oregon,NA,NA,67,17500
204326,Washington,NA,NA,40,13800
204515,Washington,NA,NA,58,98000
204953,Washington,NA,NA,30,0
205193,Washington,NA,NA,34,54000
205332,Oregon,NA,NA,40,70000
205502,Oregon,24,80000,NA,NA
205837,Washington,NA,NA,65,24200
206384,Washington,69,21700,NA,NA
207460,Washington,NA,NA,47,58000
207874,Washington,NA,NA,37,20300
209316,Oregon,71,62200,NA,NA
209594,Oregon,NA,NA,48,19600
210826,Oregon,59,34500,NA,NA
210960,Washington,NA,NA,65,42000
212502,Oregon,60,47540,NA,NA
212742,Washington,71,46400,NA,NA
213669,Oregon,64,156300,NA,NA
215914,Washington,NA,NA,58,76000
216519,Oregon,60,12000,NA,NA
216549,Oregon,60,16900,NA,NA
218867,Oregon,66,56400,NA,NA
220237,Oregon,69,9200,NA,NA
220318,Washington,NA,NA,52,0
220664,Oregon,NA,NA,38,20000
220711,Washington,NA,NA,60,100000
221681,Oregon,NA,NA,56,89000
223138,Washington,72,9300,NA,NA
224886,Oregon,75,36300,NA,NA
225197,Oregon,NA,NA,40,0
226498,Oregon,78,75400,NA,NA
227000,Washington,NA,NA,40,0
228522,Oregon,50,105000,NA,NA
229531,Oregon,NA,NA,78,5500
230685,Washington,NA,NA,33,24000
231390,Oregon,55,120000,NA,NA
231936,Oregon,NA,NA,81,9200
232799,Washington,58,467000,54,0
233312,Washington,94,40000,NA,NA
233867,Oregon,NA,NA,52,36000
235343,Washington,57,40000,NA,NA
236083,Washington,NA,NA,45,0
236149,Washington,62,244000,NA,NA
237159,Washington,NA,NA,28,35000
238121,Oregon,65,13000,69,19500
239622,Washington,NA,NA,28,9000
241532,Oregon,NA,NA,59,0
242319,Oregon,NA,NA,64,53040
242665,Oregon,79,41900,NA,NA
244264,Oregon,70,24800,NA,NA
244675,Washington,50,60000,NA,NA
246103,Oregon,NA,NA,82,33900
246863,Washington,49,50000,NA,NA
247998,Washington,NA,NA,66,32000
248175,Oregon,NA,NA,64,27000
249270,Oregon,NA,NA,52,10000
250937,Washington,27,39000,NA,NA
251542,Washington,NA,NA,57,32000
251825,Oregon,NA,NA,23,5000
251945,Oregon,35,0,NA,NA
252196,Oregon,31,41200,NA,NA
254124,Oregon,NA,NA,66,9000
