DistrictName,DistrictCode,KinderTotal2018
Rowe,2530000,8
Sabis International Charter (District),4410000,107
Salem,2580000,287
Sandwich,2610000,164
Saugus,2620000,188
Savoy,2630000,9
Scituate,2640000,211
Seekonk,2650000,140
Seven Hills Charter Public (District),4860000,61
Sharon,2660000,214
Sherborn,2690000,49
Shrewsbury,2710000,354
Shutesbury,2720000,11
Silver Hill Horace Mann Charter (District),4770000,95
Somerset,2730000,168
Somerville,2740000,427
South Hadley,2780000,133
South Shore Charter Public (District),4880000,77
Southampton,2750000,57
Southborough,2760000,130
Southbridge,2770000,166
Southern Berkshire,7650000,42
Southwick-Tolland-Granville Regional School District,7660000,102
Spencer-E Brookfield,7670000,112
Springfield,2810000,1880
Springfield Preparatory Charter School (District),35100000,53
Stoneham,2840000,173
Stoughton,2850000,243
Sturbridge,2870000,109
Sudbury,2880000,242
Sunderland,2890000,33
Sutton,2900000,92
Swampscott,2910000,159
Swansea,2920000,157
TEC Connections Academy Commonwealth Virtual School District,39020000,37
Taunton,2930000,595
Tewksbury,2950000,234
Tisbury,2960000,24
Topsfield,2980000,82
Triton,7730000,162
Truro,3000000,15
Tyngsborough,3010000,76
UP Academy Charter School of Dorchester (District),35050000,64
Up-Island Regional,7740000,43
Uxbridge,3040000,113
Wachusett,7750000,379
Wakefield,3050000,259
Wales,3060000,21
Walpole,3070000,260
Waltham,3080000,487
Ware,3090000,77
Wareham,3100000,222
Watertown,3140000,242
Wayland,3150000,208
Webster,3160000,140
Wellesley,3170000,338
Wellfleet,3180000,14
West Boylston,3220000,65
West Bridgewater,3230000,79
West Springfield,3320000,282
Westborough,3210000,261
Westfield,3250000,308
Westford,3260000,277
Westhampton,3270000,8
Weston,3300000,117
Westport,3310000,103
Westwood,3350000,201
Weymouth,3360000,383
Whately,3370000,17
Whitman-Hanson,7800000,247
Williamsburg,3400000,16
Williamstown,3410000,56
Wilmington,3420000,269
Winchendon,3430000,110
Winchester,3440000,304
Winthrop,3460000,146
Woburn,3470000,324
Worcester,3480000,2110
Worthington,3490000,13
Wrentham,3500000,130
