height_cm,applications,distance_home_miles,academic_year,major_division,study_place,roommates,books,movies,transportation,dog_pants,hotdog,coffee_tea,play_wordle
167,9,3029.00,Sophomore,Mathematical and Natural Sciences,My room,1,15,30,Walking,Back legs,Yes,Tea,No
155,6,85.00,Freshman,History and Social Sciences,My room,1,6,10,Walking,Back legs,Yes,Tea,No
158,3,2895.00,Freshman,Literature and Languages,My room,1,9,12,Walking,Back legs,No,Coffee,Yes
172.72,12,1200.00,Sophomore,History and Social Sciences,Other,1,0,2,Walking,All four legs,No,Coffee,No
172.72,15,962.10,Sophomore,Mathematical and Natural Sciences,My room,0,3,20,Walking,Back legs,Yes,Coffee,Yes
160,10,2895.00,Freshman,Literature and Languages,Dorm commons,1,50,10,Walking,All four legs,No,Tea,Yes
160,11,965.00,Sophomore,History and Social Sciences,Library,0,5,5,Walking,Back legs,No,Coffee,No
179.1,4,15.00,Sophomore,Mathematical and Natural Sciences,Other,0,2,10,Walking,Back legs,No,Tea,Yes
179,8,482.00,Sophomore,History and Social Sciences,My room,0,6,20,Walking,All four legs,Yes,Tea,No
175,4,3074.00,Sophomore,Literature and Languages,Library,1,9,30,Walking,All four legs,No,Coffee,No
166,10,670.00,Sophomore,"Philosophy, Religion, Psychology, and Linguistics",My room,0,5,5,Walking,"dogs should wear sweaters and booties, not pants",Yes,Tea,No
162,13,6418.00,Junior,Mathematical and Natural Sciences,My room,1,5,15,Walking,Back legs,Yes,Coffee,Yes
178.5,12,6055.00,Senior,Mathematical and Natural Sciences,Other,3,4,5,Biking,NO pants,No,Tea,What's Wordle?
176,10,6000.00,Freshman,History and Social Sciences,My room,1,2,3,Walking,no.,No,Tea,Yes
160,6,2864.40,Sophomore,History and Social Sciences,Library,0,4,15,Walking,Back legs,No,Coffee,Yes
183,1,2913.00,Sophomore,Mathematical and Natural Sciences,My room,1,2,12,Walking,All four legs,Yes,Neither,Yes
156.7,11,635.00,Sophomore,Mathematical and Natural Sciences,My room,1,12,8,Walking,Back legs,No,Tea,No
170,7,640.00,Other,History and Social Sciences,Other,0,5,20,Walking,Back legs,No,Tea,Yes
176,4,1085.00,Junior,Mathematical and Natural Sciences,My room,6,5,4,Biking,No,Yes,Coffee,Yes
155,3,1631.00,Junior,Mathematical and Natural Sciences,My room,1,7,90,Walking,All four legs,Yes,Tea,Yes
180.34,6,0.00,Junior,History and Social Sciences,My room,1,0,6,Biking,Back legs,No,Neither,Yes
160,8,1602.00,Freshman,History and Social Sciences,Library,1,4,15,Walking,Back legs,No,Coffee,Yes
182,12,1715.00,Senior,History and Social Sciences,My room,0,4,3,Walking,Back legs,Yes,Tea,Yes
176,2,226.00,Sophomore,History and Social Sciences,My room,0,6,10,Walking,Back legs,No,Coffee,Yes
160,10,1880.00,Sophomore,Literature and Languages,My room,1,18,20,Walking,Back legs,No,Tea,No
167,2,2100.00,Freshman,The Arts,Library,1,5,10,Walking,Back legs,Yes,Tea,Yes
187.96,5,2262.40,Junior,History and Social Sciences,Library,0,10,5,Walking,All four legs,No,Coffee,Yes
182,11,669.00,Senior,Mathematical and Natural Sciences,My room,0,0,6,Driving,Back legs,Yes,Coffee,No
