"year","region","abbreviation","totalballots","vap","vep"
"2016","south dakota","SD","378995","651179","628468"
"2016","tennessee","TN","2545271","5162937","4906550"
"2016","texas","TX","8975000","20718271","17482785"
"2016","virginia","VA","3996302","6556247","6030589"
"2016","washington","WA","3363440","5693791","5123557"
"2016","wisconsin","WI","2993000","4493054","4280628"
"2016","wyoming","WY","258788","446228","429694"
"2014","alabama","AL","1191274","3740624","3573542"
"2014","alaska","AK","285431","550095","517252"
"2014","arkansas","AR","852642","2264098","2122776"
"2014","california","CA","7513972","29575685","24413353"
"2014","colorado","CO","2080071","4132930","3814437"
"2014","connecticut","CT","1096556","2822985","2572824"
"2014","delaware","DE","238110","731850","674793"
"2014","district of columbia","DC","177176","549851","499265"
"2014","florida","FL","6026802","15897657","14001044"
"2014","illinois","IL","3680417","9893765","8986543"
"2014","indiana","IN","1387622","5017809","4803512"
"2014","iowa","IA","1142284","2384136","2269477"
"2014","kansas","KS","887023","2181529","2043387"
"2014","maine","ME","616996","1071220","1053009"
"2014","maryland","MD","1745104","4620229","4141802"
"2014","massachusetts","MA","2186789","5382729","4904417"
"2014","minnesota","MN","1992613","4177839","3918501"
"2014","nebraska","NE","552115","1414871","1329179"
"2014","nevada","NV","552546","2171523","1874884"
"2014","new hampshire","NH","495565","1067564","1031603"
"2014","new mexico","NM","519436","1587274","1451687"
"2014","new york","NY","3930310","15453917","13490728"
"2014","north carolina","NC","2939767","7681181","7131326"
"2014","ohio","OH","3149876","8968923","8702645"
"2014","oklahoma","OK","825607","2931636","2750573"
"2014","oregon","OR","1541782","3119674","2895581"
"2014","rhode island","RI","329212","844183","779264"
"2014","south carolina","SC","1261611","3760446","3586795"
"2014","south dakota","SD","282291","640486","620256"
"2014","tennessee","TN","1430117","5061487","4807090"
"2014","texas","TX","4727208","19958796","16818166"
"2014","virginia","VA","2194346","6462450","5947085"
"2014","washington","WA","2124330","5485062","4944389"
"2014","wisconsin","WI","2422248","4454913","4248825"
"2014","wyoming","WY","171153","444797","426832"
"2012","alabama","AL","2083309","3705982","3538042"
"2012","alaska","AK","301694","544269","512270"
"2012","arkansas","AR","1078548","2244163","2111810"
"2012","california","CA","13202158","28871296","23638949"
"2012","colorado","CO","2596173","3980623","3675695"
"2012","connecticut","CT","1560640","2804156","2546075"
"2012","delaware","DE","417631","714081","662162"
"2012","district of columbia","DC","294254","531080","479566"
"2012","florida","FL","8538264","15367936","13484046"
"2012","illinois","IL","5279752","9838883","8913874"
"2012","indiana","IN","2663368","4959521","4752712"
"2012","iowa","IA","1589951","2356497","2251922"
"2012","kansas","KS","1182771","2162245","2030640"
"2012","maine","ME","724758","1063754","1044606"
"2012","maryland","MD","2734062","4552894","4062401"
"2012","massachusetts","MA","3184196","5278131","4824485"
"2012","minnesota","MN","2950780","4111021","3857424"
"2012","nebraska","NE","804245","1394124","1315193"
"2012","nevada","NV","1016664","2099011","1795581"
"2012","new hampshire","NH","718700","1050220","1016041"
"2012","new mexico","NM","786522","1576959","1438878"
"2012","new york","NY","7128852","15334363","13321457"
"2012","north carolina","NC","4542488","7500448","6952078"
"2012","ohio","OH","5632423","8894484","8648493"
"2012","oklahoma","OK","1343380","2886686","2715732"
"2012","oregon","OR","1820507","3046864","2832164"
"2012","rhode island","RI","451593","838169","772057"
"2012","south carolina","SC","1981516","3656261","3481760"
"2012","south dakota","SD","368270","630180","611872"
"2012","tennessee","TN","2479733","4975501","4735888"
"2012","texas","TX","7993851","19204782","16127383"
"2012","virginia","VA","3888186","6345002","5828032"
"2012","washington","WA","3172939","5329262","4820193"
"2012","wisconsin","WI","3084115","4411462","4203731"
"2012","wyoming","WY","250701","441429","424733"
"2010","alabama","AL","1503232","3661750","3487654"
"2010","alaska","AK","261128","528459","493475"
"2010","arkansas","AR","789773","2216571","2082028"
"2010","california","CA","10529134","28157259","22823850"
"2010","colorado","CO","1828323","3842941","3521135"
"2010","connecticut","CT","1153872","2771060","2512285"
"2010","delaware","DE","316754","696911","646761"
"2010","district of columbia","DC","135846","507942","460938"
"2010","florida","FL","5473787","14916715","12966802"
"2010","illinois","IL","3792770","9736527","8780431"
"2010","indiana","IN","1791832","4895546","4700148"
"2010","iowa","IA","1133429","2328364","2227920"
"2010","kansas","KS","857658","2134690","1999897"
"2010","maine","ME","580584","1055878","1038785"
"2010","maryland","MD","1868179","4453952","3976848"
"2010","massachusetts","MA","2319963","5167053","4684240"
"2010","minnesota","MN","2123369","4040120","3787530"
"2010","nebraska","NE","503514","1373145","1302279"
"2010","nevada","NV","723515","2044399","1753166"
"2010","new hampshire","NH","461423","1033552","1001435"
"2010","new mexico","NM","630013","1551751","1411888"
"2010","new york","NY","4763899","15121092","13105474"
"2010","north carolina","NC","2700706","7320628","6777828"
"2010","ohio","OH","3956028","8827567","8566897"
"2010","oklahoma","OK","1043507","2836265","2673056"
"2010","oregon","OR","1487210","2983427","2760025"
"2010","rhode island","RI","346357","831351","763719"
"2010","south carolina","SC","1365480","3569456","3385527"
"2010","south dakota","SD","323410","615153","598304"
"2010","tennessee","TN","1620542","4876354","4636768"
"2010","texas","TX","5066957","18480135","15461769"
"2010","virginia","VA","2214505","6193893","5676934"
"2010","washington","WA","2565589","5186815","4687044"
"2010","wisconsin","WI","2185021","4361980","4161265"
"2010","wyoming","WY","190822","429977","416931"
"2008","alabama","AL","2105622","3595708","3455447"
"2008","alaska","AK","327341","507645","479628"
"2008","arkansas","AR","1095958","2174846","2071520"
"2008","california","CA","13743177","27411094","22270461"
"2008","colorado","CO","2422236","3708955","3383138"
"2008","connecticut","CT","","2725917","2472389"
"2008","delaware","DE","413562","680493","628468"
"2008","district of columbia","DC","266871","481971","432328"
"2008","florida","FL","8453743","14558436","12683359"
"2008","illinois","IL","5578195","9615700","8685582"
"2008","indiana","IN","2805986","4826231","4653122"
"2008","iowa","IA","1543662","2298515","2216929"
"2008","kansas","KS","1264208","2100084","1992730"
"2008","maine","ME","744456","1049816","1036168"
"2008","maryland","MD","2661905","4342850","3925994"
"2008","massachusetts","MA","3102995","5058035","4611636"
"2008","minnesota","MN","2921147","3975974","3740671"
"2008","nebraska","NE","811923","1348048","1275336"
"2008","nevada","NV","970019","2000277","1696872"
"2008","new hampshire","NH","719643","1021787","992519"
"2008","new mexico","NM","833365","1505830","1362140"
"2008","new york","NY","7721718","14876971","12945767"
"2008","north carolina","NC","4354571","7096503","6581783"
"2008","ohio","OH","5773777","8757453","8513103"
"2008","oklahoma","OK","1474694","2770219","2618039"
"2008","oregon","OR","1845251","2916246","2700858"
"2008","rhode island","RI","475428","825786","763936"
"2008","south carolina","SC","1927153","3473488","3309462"
"2008","south dakota","SD","387449","602539","590607"
"2008","tennessee","TN","2618238","4771926","4562424"
"2008","texas","TX","","17756112","14921530"
"2008","virginia","VA","3753059","6022123","5557344"
"2008","washington","WA","3071587","5032960","4560012"
"2008","wisconsin","WI","2997086","4306876","4120029"
"2008","wyoming","WY","256035","418040","405766"
"2006","alabama","AL","","3513952","3369212"
"2006","alaska","AK","238307","492452","461202"
"2006","arkansas","AR","780409","2130080","2013638"
"2006","california","CA","8899059","26739781","21398706"
"2006","colorado","CO","1586105","3569901","3253632"
"2006","connecticut","CT","1162391","2683538","2448401"
"2006","delaware","DE","258053","659410","608176"
"2006","district of columbia","DC","122356","466827","421545"
"2006","florida","FL","4884544","14211669","12300449"
"2006","illinois","IL","3586292","9483856","8566235"
"2006","indiana","IN","1719351","4743856","4570705"
"2006","iowa","IA","1071509","2267991","2180741"
"2006","kansas","KS","864083","2062668","1944482"
"2006","maine","ME","","1037200","1019568"
"2006","maryland","MD","1809237","4261205","3849505"
"2006","massachusetts","MA","2243835","4970780","4527290"
"2006","minnesota","MN","2217552","3896561","3656145"
"2006","nebraska","NE","610499","1325932","1254482"
"2006","nevada","NV","586274","1907976","1610204"
"2006","new hampshire","NH","418550","1006234","969217"
"2006","new mexico","NM","568597","1464560","1329678"
"2006","new york","NY","4703830","14665626","12730240"
"2006","north carolina","NC","2036451","6799585","6309438"
"2006","ohio","OH","4184072","8687609","8447316"
"2006","oklahoma","OK","","2709819","2559856"
"2006","oregon","OR","1399650","2829482","2609223"
"2006","rhode island","RI","392882","824887","754075"
"2006","south carolina","SC","1117311","3332190","3179695"
"2006","south dakota","SD","341105","589178","575127"
"2006","tennessee","TN","1868363","4641909","4437356"
"2006","texas","TX","","17029802","14257793"
"2006","virginia","VA","2398589","5867219","5408856"
"2006","washington","WA","2085074","4861001","4388954"
"2006","wisconsin","WI","2183155","4240696","4050475"
"2006","wyoming","WY","196217","400187","386847"
"2004","alabama","AL","1890317","3427542","3309755"
"2004","alaska","AK","314502","476378","449083"
"2004","arkansas","AR","1070573","2072986","1972057"
"2004","california","CA","12589367","26246548","21035883"
"2004","colorado","CO","2148036","3443164","3157788"
"2004","connecticut","CT","1607808","2652587","2436378"
"2004","delaware","DE","377407","635370","588633"
"2004","district of columbia","DC","230105","458758","412882"
"2004","florida","FL","7640319","13643828","11885513"
"2004","illinois","IL","5350493","9391420","8501813"
"2004","indiana","IN","2512142","4660157","4510573"
"2004","iowa","IA","1521966","2239979","2158396"
"2004","kansas","KS","1213108","2032763","1924522"
"2004","maine","ME","751519","1022043","1005690"
"2004","maryland","MD","2395791","4179376","3802045"
"2004","massachusetts","MA","2927455","4935787","4510816"
"2004","minnesota","MN","2842912","3819020","3600480"
"2004","nebraska","NE","792906","1305430","1239369"
"2004","nevada","NV","831563","1776962","1521561"
"2004","new hampshire","NH","683672","984422","950479"
"2004","new mexico","NM","775301","1411419","1289094"
"2004","new york","NY","7448266","14598898","12640317"
"2004","north carolina","NC","3552449","6505150","6066809"
"2004","ohio","OH","5722443","8624277","8407021"
"2004","oklahoma","OK","","2649994","2516580"
"2004","oregon","OR","1851671","2736472","2537173"
"2004","rhode island","RI","440228","827513","747510"
"2004","south carolina","SC","1626720","3198733","3066549"
"2004","south dakota","SD","394930","576472","565300"
"2004","tennessee","TN","2456610","4496929","4322069"
"2004","texas","TX","","16284659","13763508"
"2004","virginia","VA","3223156","5699175","5284227"
"2004","washington","WA","2883499","4683829","4257936"
"2004","wisconsin","WI","3016288","4172068","3995149"
"2004","wyoming","WY","245789","386796","375525"
"2002","alabama","AL","","3371451","3257159"
"2002","alaska","AK","232852","457154","431836"
"2002","arkansas","AR","814176","2031787","1940766"
"2002","california","CA","7738821","25622609","20529013"
"2002","colorado","CO","1424029","3362098","3094727"
"2002","connecticut","CT","1090756","2617814","2409238"
"2002","delaware","DE","","612919","568420"
"2002","district of columbia","DC","","458631","412768"
"2002","florida","FL","5143674","13005435","11356610"
"2002","illinois","IL","3651808","9302571","8431456"
"2002","indiana","IN","1562037","4587747","4445890"
"2002","iowa","IA","1040201","2214936","2138396"
"2002","kansas","KS","851966","2007407","1904495"
"2002","maine","ME","","1001796","985767"
"2002","maryland","MD","1721626","4082694","3722540"
"2002","massachusetts","MA","2220301","4919958","4506010"
"2002","minnesota","MN","","3745577","3530710"
"2002","nebraska","NE","","1285024","1223282"
"2002","nevada","NV","512433","1640679","1411670"
"2002","new hampshire","NH","453078","960401","929106"
"2002","new mexico","NM","502230","1360130","1248642"
"2002","new york","NY","4690968","14504792","12555284"
"2002","north carolina","NC","","6314679","5906356"
"2002","ohio","OH","3356285","8556557","8348151"
"2002","oklahoma","OK","","2610016","2482367"
"2002","oregon","OR","1293756","2674581","2482962"
"2002","rhode island","RI","337027","819310","741771"
