state,age,sex,total_income,health_insurance,transport
Oregon,67,male,60400,with,"Car, truck, or van"
Oregon,65,female,14900,with,NA
Washington,50,male,100000,with,"Car, truck, or van"
Washington,62,female,15901,with,NA
Oregon,61,female,7700,with,NA
Oregon,55,male,21000,without,Worked at home
Washington,35,male,50000,with,"Car, truck, or van"
Washington,65,male,65000,with,"Car, truck, or van"
Oregon,67,male,10800,with,NA
Oregon,30,female,36400,with,Bicycle
Oregon,39,male,23000,with,Bus or trolley bus
Washington,44,male,28300,with,NA
Washington,35,female,15000,without,"Car, truck, or van"
Oregon,51,female,0,with,NA
Washington,47,male,57000,with,NA
Oregon,66,female,13200,with,NA
Oregon,63,female,1800,with,NA
Washington,41,female,47000,with,"Car, truck, or van"
Oregon,59,female,14900,with,NA
Oregon,47,female,50000,with,Bicycle
Oregon,79,male,4600,with,NA
Oregon,79,male,45850,with,NA
Oregon,33,male,85000,with,"Car, truck, or van"
Oregon,35,male,110300,with,"Car, truck, or van"
Washington,61,male,15000,with,NA
Washington,28,female,21000,with,"Car, truck, or van"
Oregon,32,female,83000,without,"Car, truck, or van"
Washington,83,male,18300,with,NA
Oregon,43,female,48000,with,"Car, truck, or van"
Oregon,64,male,21200,with,NA
Washington,84,female,12900,with,NA
Washington,42,male,34000,with,"Car, truck, or van"
Washington,81,female,21400,with,NA
Washington,60,female,8600,with,NA
Washington,48,male,55000,with,"Car, truck, or van"
Oregon,69,female,19900,with,NA
Oregon,32,male,29000,with,"Car, truck, or van"
Oregon,50,male,101200,with,"Car, truck, or van"
Oregon,61,female,80100,with,"Car, truck, or van"
Washington,60,female,8600,with,NA
Washington,44,female,135000,with,"Car, truck, or van"
Washington,94,female,8000,with,NA
Oregon,48,female,80000,with,Bus or trolley bus
Washington,42,male,22000,without,"Car, truck, or van"
Oregon,77,female,23400,with,NA
Washington,37,female,65000,with,Bus or trolley bus
Washington,36,female,30100,with,NA
Washington,53,male,79000,with,"Car, truck, or van"
Washington,67,female,58110,with,NA
Oregon,21,male,30000,with,"Car, truck, or van"
Washington,60,male,72000,with,"Car, truck, or van"
Washington,45,female,10600,with,NA
Washington,57,female,15400,with,NA
Washington,40,female,119600,with,"Car, truck, or van"
Washington,42,male,60000,with,"Car, truck, or van"
Oregon,61,male,46500,with,NA
Oregon,56,female,4800,with,"Car, truck, or van"
Oregon,42,female,0,with,NA
Washington,70,male,31300,with,NA
Washington,86,male,19100,with,NA
Washington,94,male,15704,with,NA
Oregon,71,male,35000,with,NA
Washington,46,male,115000,with,"Car, truck, or van"
Washington,33,female,47000,with,"Car, truck, or van"
Oregon,27,female,24000,with,"Car, truck, or van"
Washington,64,female,43400,with,"Car, truck, or van"
Washington,65,female,49800,with,NA
Oregon,35,male,12900,with,NA
Washington,33,male,70500,with,Walked
Oregon,59,female,62000,with,"Car, truck, or van"
Washington,46,male,11200,with,NA
Oregon,67,male,21700,with,NA
Washington,94,female,41800,with,NA
Washington,45,female,0,with,NA
Washington,48,female,18000,with,NA
Oregon,32,male,58000,with,"Car, truck, or van"
Washington,49,female,15600,with,"Car, truck, or van"
Washington,57,male,9280,with,NA
Oregon,60,male,8950,with,NA
Washington,24,female,30000,with,Bus or trolley bus
Oregon,80,male,69000,with,NA
Washington,42,male,22000,with,"Car, truck, or van"
Washington,66,male,37800,with,NA
Washington,61,male,73000,with,"Car, truck, or van"
Washington,53,male,89000,with,"Car, truck, or van"
Washington,47,female,110000,with,"Car, truck, or van"
Washington,53,female,45000,with,"Car, truck, or van"
Washington,85,male,12500,with,NA
Washington,54,male,92400,with,Worked at home
Washington,46,female,8700,with,"Car, truck, or van"
Washington,45,female,7200,with,NA
Washington,41,female,41100,without,"Car, truck, or van"
Oregon,69,male,15600,with,NA
Washington,58,female,75000,with,"Car, truck, or van"
Washington,46,male,566000,with,"Car, truck, or van"
Washington,35,male,120000,with,Other
Washington,50,female,45000,with,"Car, truck, or van"
Washington,63,female,24500,with,NA
Oregon,80,male,339000,with,NA
Oregon,61,male,20000,without,Worked at home
Washington,38,female,52000,with,"Car, truck, or van"
Oregon,55,female,37000,with,"Car, truck, or van"
Oregon,76,male,22500,with,NA
Oregon,80,female,20900,with,NA
Washington,69,female,278000,with,NA
Washington,46,male,14000,with,NA
Washington,28,male,38400,with,"Car, truck, or van"
Washington,71,male,279000,with,NA
Oregon,71,male,12000,with,NA
Washington,72,female,49600,with,NA
Washington,36,female,16000,with,"Car, truck, or van"
Washington,46,male,120000,with,"Car, truck, or van"
Oregon,36,male,48000,without,"Car, truck, or van"
Washington,23,female,15000,with,"Car, truck, or van"
Washington,58,female,74000,with,"Car, truck, or van"
Washington,24,male,3700,with,"Car, truck, or van"
Oregon,48,female,2000,with,Bus or trolley bus
Washington,43,female,32000,without,"Car, truck, or van"
Washington,36,male,125000,with,"Car, truck, or van"
Oregon,49,male,40000,with,"Car, truck, or van"
Washington,53,female,36700,with,"Car, truck, or van"
Washington,63,male,95000,with,"Car, truck, or van"
Oregon,57,female,15000,with,"Car, truck, or van"
Washington,67,male,146700,with,"Car, truck, or van"
Washington,61,male,50300,with,NA
Oregon,28,male,255000,with,"Car, truck, or van"
Washington,46,male,13000,with,NA
Washington,30,female,4000,with,NA
Oregon,62,male,26900,with,NA
Oregon,34,male,2400,with,"Car, truck, or van"
Washington,60,female,0,with,NA
Washington,59,male,85000,with,"Car, truck, or van"
Oregon,55,male,89500,with,"Car, truck, or van"
Washington,53,female,62460,with,NA
Washington,37,male,41250,with,Bus or trolley bus
Washington,84,female,5000,with,NA
Washington,80,male,14360,with,NA
Washington,60,male,2000,with,NA
Washington,69,male,23100,with,NA
Oregon,65,male,98900,with,"Car, truck, or van"
Washington,71,male,81400,with,NA
Washington,67,female,52200,with,NA
Washington,81,female,50000,with,NA
Washington,49,female,69000,with,Other
Washington,46,male,50000,with,"Car, truck, or van"
Washington,58,female,78680,with,Worked at home
Oregon,22,male,25000,with,Bicycle
Washington,62,female,41600,with,"Car, truck, or van"
Oregon,20,female,21100,with,"Car, truck, or van"
Washington,53,female,25000,with,Worked at home
Washington,65,male,116000,with,Worked at home
Washington,23,male,10000,with,"Car, truck, or van"
Oregon,23,female,0,with,NA
Oregon,68,female,39600,with,Worked at home
Washington,47,female,45000,with,"Car, truck, or van"
Washington,74,male,359400,with,NA
Oregon,79,male,31600,with,NA
Washington,30,male,36200,with,"Car, truck, or van"
Washington,79,male,15400,with,NA
Washington,53,female,50000,with,"Car, truck, or van"
Washington,45,female,400,with,NA
Washington,74,male,39290,with,Worked at home
Washington,42,male,55500,with,"Car, truck, or van"
Washington,23,female,0,with,NA
Washington,48,male,127000,with,"Car, truck, or van"
