state,age,sex,total_income,health_insurance,transport
Oregon,59,female,39000,with,"Car, truck, or van"
Washington,69,male,25600,with,NA
Washington,28,female,6000,with,"Car, truck, or van"
Washington,30,female,97050,with,"Car, truck, or van"
Oregon,79,female,28000,with,NA
Oregon,45,female,77000,with,Other
Washington,38,male,121050,with,"Car, truck, or van"
Washington,62,female,28000,with,"Car, truck, or van"
Washington,50,male,90000,with,"Car, truck, or van"
Oregon,29,female,40000,with,"Car, truck, or van"
Washington,24,male,20000,with,"Car, truck, or van"
Oregon,26,male,70000,with,"Car, truck, or van"
Washington,62,female,43800,with,"Car, truck, or van"
Oregon,63,female,39800,with,"Car, truck, or van"
Washington,34,male,20000,without,"Car, truck, or van"
Washington,31,male,80000,with,"Car, truck, or van"
Washington,47,male,140000,with,"Car, truck, or van"
Washington,36,male,92000,with,"Car, truck, or van"
Oregon,79,male,5300,with,NA
Washington,39,male,10000,with,"Car, truck, or van"
Oregon,67,male,130500,with,"Car, truck, or van"
Washington,64,female,68000,with,NA
Oregon,48,male,267000,with,"Car, truck, or van"
Washington,34,male,60000,with,NA
Oregon,70,female,18000,with,NA
Oregon,25,female,20400,with,"Car, truck, or van"
Washington,27,male,24100,without,Bus or trolley bus
Washington,57,male,0,with,NA
Oregon,49,female,5000,with,"Car, truck, or van"
Washington,42,female,62000,with,"Car, truck, or van"
Washington,51,female,50000,with,Bus or trolley bus
Oregon,37,female,14400,with,NA
Washington,48,male,104000,with,"Car, truck, or van"
Washington,35,female,440,without,NA
Washington,52,female,60000,with,"Car, truck, or van"
Washington,57,male,73000,with,"Car, truck, or van"
Oregon,27,female,13930,with,"Car, truck, or van"
Washington,94,female,32500,with,NA
Washington,58,female,65000,with,"Car, truck, or van"
Washington,32,female,40,with,NA
Washington,57,female,120000,with,"Car, truck, or van"
Washington,44,female,60000,with,"Car, truck, or van"
Oregon,64,female,55000,with,"Car, truck, or van"
Washington,76,female,9800,with,NA
Washington,35,male,55000,with,"Car, truck, or van"
Washington,35,male,32000,with,"Car, truck, or van"
Washington,70,female,3000,with,NA
Washington,30,female,54800,with,"Car, truck, or van"
Washington,29,female,50000,with,NA
Oregon,60,female,155000,with,"Car, truck, or van"
Washington,25,male,40000,with,"Car, truck, or van"
Washington,24,male,25000,with,"Car, truck, or van"
Oregon,43,female,90200,with,Worked at home
Washington,49,female,1700,with,Other
Oregon,69,male,7000,with,NA
Washington,55,female,43000,with,"Car, truck, or van"
Washington,32,male,90000,with,"Car, truck, or van"
Washington,57,male,7000,without,Worked at home
Washington,29,female,0,with,NA
Oregon,40,female,60000,with,Bus or trolley bus
Oregon,49,male,31000,with,Walked
Oregon,37,male,15600,without,"Car, truck, or van"
Washington,24,female,15000,with,"Car, truck, or van"
Washington,31,female,10000,with,"Car, truck, or van"
Washington,65,male,138000,with,"Car, truck, or van"
Oregon,38,female,32000,with,"Car, truck, or van"
Washington,36,male,11800,with,"Car, truck, or van"
Washington,64,male,16500,with,NA
Washington,46,male,40000,without,"Car, truck, or van"
Washington,75,female,66600,with,NA
Oregon,41,male,92000,with,"Car, truck, or van"
Washington,67,female,80070,with,"Car, truck, or van"
Oregon,52,female,0,with,NA
Washington,55,female,55000,with,Worked at home
Oregon,35,male,56050,with,NA
Washington,24,male,2000,with,NA
Washington,44,male,42000,with,"Car, truck, or van"
Oregon,35,female,115000,with,"Car, truck, or van"
Washington,85,male,47000,with,NA
Washington,75,female,11700,with,NA
Washington,68,female,35000,with,"Car, truck, or van"
Oregon,34,male,135000,with,"Car, truck, or van"
Washington,75,male,252000,with,NA
Washington,50,female,67800,with,"Car, truck, or van"
Washington,40,male,31500,with,"Car, truck, or van"
Oregon,49,male,34000,with,Walked
Oregon,49,male,160000,with,"Car, truck, or van"
Washington,33,male,30400,with,Other
Washington,43,male,98000,with,"Car, truck, or van"
Oregon,40,female,0,with,NA
Washington,58,female,10000,with,NA
Oregon,49,female,60000,with,NA
Washington,60,male,260,with,NA
Washington,62,male,66500,with,"Car, truck, or van"
Oregon,50,female,25200,with,NA
Oregon,51,female,140000,with,"Car, truck, or van"
Oregon,69,male,8760,with,NA
Oregon,71,male,25450,with,NA
Oregon,63,female,27600,with,"Car, truck, or van"
Washington,35,female,83000,with,"Car, truck, or van"
Oregon,36,female,55000,with,"Car, truck, or van"
Washington,33,male,3200,with,NA
Washington,73,male,162800,with,NA
Washington,49,female,15000,with,"Car, truck, or van"
Washington,30,female,80000,with,"Car, truck, or van"
Washington,41,female,24000,with,Walked
Washington,27,male,50000,with,"Car, truck, or van"
Oregon,23,male,14000,with,"Car, truck, or van"
Washington,62,male,30000,with,NA
Washington,65,male,31200,with,"Car, truck, or van"
Washington,90,male,68000,with,NA
Washington,22,male,60000,with,Walked
Washington,50,male,38900,with,"Car, truck, or van"
Washington,88,female,67000,with,NA
Oregon,73,male,11830,with,"Car, truck, or van"
Washington,28,male,28000,with,"Car, truck, or van"
Washington,30,male,71000,with,"Car, truck, or van"
Washington,83,female,9000,with,NA
Oregon,79,female,0,with,NA
Washington,38,male,467000,with,"Car, truck, or van"
Washington,26,female,35400,with,"Car, truck, or van"
Oregon,25,male,21000,with,Walked
Washington,43,female,60000,with,"Car, truck, or van"
Washington,43,male,52000,with,Worked at home
Washington,32,male,48000,without,"Car, truck, or van"
Oregon,56,male,25600,with,"Car, truck, or van"
Washington,80,female,15700,with,NA
Washington,41,female,42000,with,"Car, truck, or van"
Oregon,35,male,15500,with,"Car, truck, or van"
Oregon,26,male,30600,without,"Car, truck, or van"
Oregon,27,female,5200,with,NA
Washington,64,female,10430,with,NA
Washington,37,female,6600,with,"Car, truck, or van"
Washington,32,male,32000,without,"Car, truck, or van"
Oregon,70,female,0,with,NA
Washington,64,male,120000,with,NA
Washington,88,female,59100,with,NA
Washington,62,male,120000,with,Worked at home
Washington,60,male,8400,with,NA
Washington,25,female,43200,with,"Car, truck, or van"
Washington,69,male,55200,with,NA
Washington,48,male,95000,with,"Car, truck, or van"
Oregon,58,male,0,with,NA
Washington,58,female,87000,with,"Car, truck, or van"
Washington,68,female,22800,with,NA
Washington,65,female,36900,with,NA
Oregon,57,female,30260,with,"Car, truck, or van"
Washington,37,male,13000,with,"Car, truck, or van"
Washington,57,female,33100,with,"Car, truck, or van"
Washington,33,male,140000,with,"Car, truck, or van"
Washington,50,female,57600,with,"Car, truck, or van"
Washington,54,male,25000,with,"Car, truck, or van"
Oregon,56,male,53000,with,"Car, truck, or van"
Washington,72,male,146530,with,NA
Washington,50,female,18000,with,"Car, truck, or van"
Washington,39,female,0,with,NA
Washington,37,male,49000,with,"Car, truck, or van"
Oregon,23,female,25000,with,NA
Oregon,65,female,20000,with,"Car, truck, or van"
Washington,89,female,12000,with,NA
Washington,27,female,10000,with,"Car, truck, or van"
Washington,29,male,115500,with,Bicycle
Washington,63,female,39300,with,NA
Washington,31,male,18000,with,"Car, truck, or van"
Washington,42,male,40000,with,"Car, truck, or van"
Washington,46,female,23000,with,"Car, truck, or van"
Washington,56,female,11700,with,NA
Oregon,25,female,33000,with,Bus or trolley bus
Washington,84,male,17500,with,NA
Oregon,69,male,27100,with,NA
Washington,27,male,100000,with,"Car, truck, or van"
Washington,61,male,27100,with,NA
Washington,71,female,14000,with,NA
Oregon,55,female,20400,with,NA
Oregon,63,female,23820,with,"Car, truck, or van"
Washington,60,female,40000,with,"Car, truck, or van"
Washington,78,male,87650,with,"Car, truck, or van"
Oregon,39,male,82200,with,Bus or trolley bus
Washington,58,male,34700,with,"Car, truck, or van"
Washington,59,male,0,with,NA
Oregon,69,female,160800,with,Worked at home
Oregon,28,male,28000,with,"Car, truck, or van"
Oregon,44,male,95080,with,Other
Washington,43,female,19200,with,"Car, truck, or van"
Washington,31,female,44000,with,"Car, truck, or van"
Oregon,57,female,50000,with,"Car, truck, or van"
Oregon,30,female,43000,with,Worked at home
Oregon,75,female,16800,with,NA
Washington,60,female,240,with,NA
Washington,67,female,45000,with,"Car, truck, or van"
Washington,52,female,25000,with,Bus or trolley bus
Washington,58,female,43200,with,NA
Oregon,82,male,14400,with,NA
Oregon,59,female,45000,with,"Car, truck, or van"
Oregon,65,male,21700,with,NA
Washington,62,female,50100,with,NA
Washington,57,male,49000,with,"Car, truck, or van"
Washington,66,female,27600,with,"Car, truck, or van"
Washington,67,female,6000,with,NA
Oregon,35,male,93500,with,"Car, truck, or van"
Washington,72,female,1500,with,NA
Oregon,50,female,23000,with,"Car, truck, or van"
Washington,56,male,164000,without,"Car, truck, or van"
Oregon,51,male,30000,with,"Car, truck, or van"
Washington,28,male,30000,with,NA
Oregon,74,male,13700,with,NA
Oregon,74,male,16300,with,NA
Oregon,83,female,27000,with,NA
Oregon,69,male,26000,with,NA
Washington,34,female,26000,without,"Car, truck, or van"
Washington,55,female,42400,with,"Car, truck, or van"
Oregon,52,male,150000,with,"Car, truck, or van"
Oregon,59,female,4100,with,"Car, truck, or van"
Washington,64,female,11700,with,NA
Oregon,59,male,50700,with,Worked at home
Washington,67,female,26800,with,NA
Washington,50,female,0,with,NA
Washington,43,male,25000,with,"Car, truck, or van"
Washington,38,female,12000,with,"Car, truck, or van"
Washington,36,male,230000,with,Worked at home
Oregon,83,male,25200,with,Worked at home
Oregon,63,female,7480,with,NA
Oregon,34,female,8000,with,NA
Washington,42,female,24000,with,"Car, truck, or van"
Washington,31,male,148250,with,Bus or trolley bus
Washington,50,male,55000,with,"Car, truck, or van"
Washington,54,female,2000,with,NA
Washington,46,female,64000,with,"Car, truck, or van"
Oregon,23,male,19000,without,Bus or trolley bus
Washington,47,female,40000,with,"Car, truck, or van"
Oregon,60,male,32500,with,"Car, truck, or van"
Washington,60,female,192000,with,Worked at home
Washington,47,male,98000,with,"Car, truck, or van"
Oregon,68,male,16900,with,"Car, truck, or van"
Washington,65,female,40300,with,"Car, truck, or van"
Washington,31,female,13700,with,NA
Washington,47,female,16000,with,Walked
Washington,47,male,124000,with,NA
Washington,55,male,93000,with,Bicycle
Oregon,64,male,22000,with,NA
Washington,70,male,28000,with,NA
Washington,87,male,79600,with,NA
Washington,66,female,90000,with,"Car, truck, or van"
Washington,40,female,40000,with,"Car, truck, or van"
Oregon,69,female,25600,with,NA
Washington,55,female,14400,with,"Car, truck, or van"
Washington,55,female,142000,with,Worked at home
Oregon,84,female,12100,with,Worked at home
Washington,72,male,17400,with,NA
Washington,66,female,5800,with,NA
Washington,54,female,50000,with,"Car, truck, or van"
Washington,55,female,130020,with,"Car, truck, or van"
Washington,74,male,10900,with,NA
Oregon,25,male,17850,with,"Car, truck, or van"
Washington,31,female,70000,with,Worked at home
Washington,46,female,13500,with,NA
Washington,51,male,14990,with,NA
Washington,54,male,910,with,NA
Oregon,62,female,89000,with,"Car, truck, or van"
Washington,35,female,28800,with,"Car, truck, or van"
Washington,44,female,210000,with,"Car, truck, or van"
Oregon,50,male,85000,with,"Car, truck, or van"
Washington,39,female,5000,without,"Car, truck, or van"
Washington,60,male,70930,with,Walked
Washington,78,male,142000,with,"Car, truck, or van"
Oregon,73,male,18000,with,NA
Washington,41,male,50000,with,"Car, truck, or van"
Oregon,70,female,81500,with,"Car, truck, or van"
Oregon,22,female,25000,with,Walked
Washington,63,male,100000,with,"Car, truck, or van"
Oregon,29,male,27400,with,"Car, truck, or van"
Washington,61,female,98000,with,"Car, truck, or van"
Washington,32,male,2500,with,NA
Washington,58,male,70000,with,"Car, truck, or van"
Washington,46,female,14000,with,"Car, truck, or van"
Oregon,78,male,27800,with,NA
Oregon,40,male,31000,with,"Car, truck, or van"
Washington,44,female,70000,with,"Car, truck, or van"
Washington,43,male,215300,with,"Car, truck, or van"
Washington,57,female,16000,with,Bicycle
Oregon,70,female,68800,with,NA
Washington,30,female,15000,with,NA
Washington,39,female,15200,with,"Car, truck, or van"
Oregon,41,female,45010,with,"Car, truck, or van"
Washington,44,male,7800,with,NA
Washington,42,male,255000,with,Bicycle
Washington,29,male,120000,with,Other
Washington,24,male,45000,with,"Car, truck, or van"
Washington,32,female,30000,with,NA
Washington,75,female,46400,with,NA
Oregon,65,male,18000,with,NA
Washington,35,female,85200,with,Worked at home
Washington,67,male,42700,with,NA
Washington,68,male,50200,with,Other
Washington,45,male,695000,with,"Car, truck, or van"
Washington,58,male,12000,with,"Car, truck, or van"
Oregon,61,male,64000,with,NA
Washington,38,male,60000,with,"Car, truck, or van"
Oregon,63,female,11000,with,NA
Washington,75,female,54000,with,NA
Washington,62,female,38000,with,"Car, truck, or van"
Washington,20,female,1700,with,Bus or trolley bus
Oregon,29,female,21000,with,Worked at home
Washington,64,female,25000,with,NA
Oregon,52,female,24700,with,"Car, truck, or van"
Washington,29,female,55000,with,"Car, truck, or van"
Oregon,59,female,15090,with,"Car, truck, or van"
Oregon,59,female,8800,with,NA
Washington,27,male,30000,without,Bus or trolley bus
Washington,25,male,0,with,NA
Washington,25,male,25000,without,"Car, truck, or van"
Washington,27,female,40000,with,"Car, truck, or van"
Washington,27,female,467000,with,Bus or trolley bus
Washington,80,male,33800,with,NA
Oregon,27,male,114000,with,"Car, truck, or van"
Washington,58,male,57000,with,NA
Oregon,74,male,18500,with,NA
Washington,38,female,80000,with,"Car, truck, or van"
Oregon,58,female,33100,with,Worked at home
Oregon,71,male,24800,with,NA
Washington,25,male,66000,with,"Car, truck, or van"
Washington,57,male,14390,with,NA
Washington,53,female,1500,with,NA
Oregon,45,male,55400,with,"Car, truck, or van"
Oregon,68,female,15600,with,NA
Washington,64,male,26000,with,"Car, truck, or van"
Oregon,78,female,21900,with,NA
Washington,53,male,100000,with,"Car, truck, or van"
Washington,48,male,75750,with,"Car, truck, or van"
Washington,44,female,3000,with,"Car, truck, or van"
Washington,29,male,89400,with,"Car, truck, or van"
Washington,29,female,33600,with,"Car, truck, or van"
Oregon,71,female,21000,with,NA
Washington,72,female,91400,with,NA
Washington,39,male,55000,with,"Car, truck, or van"
Washington,57,male,5000,without,NA
Oregon,65,male,35900,with,NA
Washington,50,male,55000,with,"Car, truck, or van"
Washington,21,female,17000,with,"Car, truck, or van"
Oregon,62,male,46600,with,"Car, truck, or van"
Washington,28,female,45100,with,"Car, truck, or van"
Washington,41,male,80000,without,"Car, truck, or van"
Oregon,54,male,406000,with,"Car, truck, or van"
Washington,45,female,32000,with,"Car, truck, or van"
Oregon,44,female,49000,with,"Car, truck, or van"
Washington,41,male,90000,with,Worked at home
Washington,23,female,28700,with,"Car, truck, or van"
Oregon,70,male,12000,with,NA
Washington,47,female,115000,with,Worked at home
Washington,62,male,52250,with,NA
Washington,71,male,90000,with,Worked at home
Oregon,54,male,46000,with,"Car, truck, or van"
Washington,59,male,155000,without,Worked at home
Washington,35,female,24000,with,"Car, truck, or van"
Washington,85,female,0,with,NA
Oregon,50,female,70000,with,"Car, truck, or van"
Oregon,46,female,24000,with,NA
Washington,51,female,18000,with,NA
Washington,65,male,45000,with,"Car, truck, or van"
Washington,80,female,7200,with,NA
Oregon,64,female,58000,with,"Car, truck, or van"
Oregon,64,female,15000,with,NA
Oregon,47,male,70000,with,NA
Washington,74,male,93200,with,NA
Washington,54,female,13700,with,NA
Oregon,72,male,50400,with,NA
Washington,50,male,70300,with,NA
Washington,37,male,100000,with,"Car, truck, or van"
Washington,48,male,135000,with,Worked at home
Oregon,26,female,0,with,NA
Washington,33,female,0,with,NA
Oregon,27,female,20000,with,"Car, truck, or van"
Washington,49,male,70000,with,"Car, truck, or van"
Washington,48,female,50000,with,"Car, truck, or van"
Oregon,29,male,47600,with,"Car, truck, or van"
Washington,70,female,33100,with,Bus or trolley bus
Oregon,23,female,20000,with,"Car, truck, or van"
Oregon,26,male,12800,with,NA
Oregon,87,male,51600,with,NA
Washington,42,male,160500,with,Bus or trolley bus
Washington,46,female,85700,with,"Car, truck, or van"
Washington,37,male,16400,with,NA
Washington,57,male,41200,with,Bicycle
Oregon,71,female,11000,with,NA
Washington,39,male,67020,with,"Car, truck, or van"
Washington,61,male,35000,with,Worked at home
Washington,48,male,65000,with,Worked at home
Oregon,64,male,10030,with,NA
Washington,70,female,26100,with,NA
Washington,60,male,50000,with,"Car, truck, or van"
Washington,61,male,90000,with,"Car, truck, or van"
Washington,29,female,74600,with,"Car, truck, or van"
Oregon,23,female,8700,with,"Car, truck, or van"
Washington,32,male,45000,with,"Car, truck, or van"
Oregon,38,female,30140,with,Worked at home
Washington,84,female,15000,with,NA
Washington,47,female,76000,with,"Car, truck, or van"
Washington,46,female,60000,with,"Car, truck, or van"
Oregon,62,male,0,with,NA
Washington,62,male,130000,with,"Car, truck, or van"
Washington,53,female,8900,with,NA
Washington,71,female,52400,with,"Car, truck, or van"
Washington,68,male,9880,with,NA
Washington,53,female,47600,with,Worked at home
Oregon,61,female,30000,with,"Car, truck, or van"
Washington,40,female,80000,with,"Car, truck, or van"
Oregon,31,male,120000,without,"Car, truck, or van"
Washington,72,female,18000,with,NA
Washington,51,female,24100,with,"Car, truck, or van"
Oregon,70,male,58700,with,"Car, truck, or van"
Washington,33,female,30000,with,"Car, truck, or van"
Oregon,53,male,84000,with,"Car, truck, or van"
Oregon,70,female,39800,with,Bicycle
Washington,37,female,29200,with,"Car, truck, or van"
Washington,68,male,67500,with,NA
Washington,56,female,60000,with,Worked at home
Washington,79,female,72000,with,NA
Oregon,76,female,6000,with,NA
Oregon,33,female,4000,with,NA
Oregon,53,male,32000,with,Walked
Washington,34,female,52000,with,"Car, truck, or van"
Washington,60,female,180000,with,"Car, truck, or van"
Washington,60,female,92000,with,"Car, truck, or van"
Washington,73,female,16100,with,NA
Washington,69,female,3700,with,NA
Oregon,43,female,51000,with,Bicycle
Washington,45,female,9000,with,"Car, truck, or van"
Oregon,58,male,60000,with,"Car, truck, or van"
Washington,56,female,33200,with,"Car, truck, or van"
Oregon,44,female,95000,with,"Car, truck, or van"
Oregon,57,male,34000,with,Worked at home
Oregon,73,male,89000,with,Worked at home
Oregon,80,male,41800,with,NA
Washington,48,male,7400,with,NA
Washington,67,male,175000,with,"Car, truck, or van"
Oregon,70,male,22900,with,"Car, truck, or van"
Oregon,58,female,5000,with,NA
Oregon,46,female,37000,with,"Car, truck, or van"
Washington,41,male,80000,with,"Car, truck, or van"
Washington,60,male,124000,with,"Car, truck, or van"
Oregon,34,female,20000,with,Walked
Washington,77,female,30400,with,NA
Washington,44,male,36000,with,"Car, truck, or van"
Washington,40,male,100000,with,"Car, truck, or van"
Washington,89,male,38100,with,NA
Washington,48,female,40000,with,"Car, truck, or van"
Washington,32,male,52000,with,"Car, truck, or van"
Washington,44,female,0,without,NA
Oregon,60,male,60000,with,"Car, truck, or van"
Washington,59,male,2000,with,"Car, truck, or van"
Washington,56,male,52400,with,NA
Washington,62,female,24400,with,NA
Washington,34,female,24000,with,Bus or trolley bus
Oregon,64,male,60900,with,"Car, truck, or van"
Washington,52,male,24000,with,"Car, truck, or van"
Oregon,60,male,21300,with,NA
Oregon,46,male,406000,with,"Car, truck, or van"
Oregon,27,male,18000,with,"Car, truck, or van"
Oregon,62,female,0,with,NA
Washington,63,male,62600,with,NA
Washington,73,female,21000,with,NA
Washington,31,male,50000,with,"Car, truck, or van"
Oregon,65,female,13600,with,NA
Washington,79,male,30100,with,NA
Washington,31,male,100000,with,"Car, truck, or van"
Washington,34,female,40000,with,"Car, truck, or van"
Washington,33,female,26000,with,Worked at home
Washington,54,female,63300,with,NA
Washington,23,female,12000,with,"Car, truck, or van"
Oregon,48,female,53300,with,"Car, truck, or van"
Washington,57,female,40000,with,"Car, truck, or van"
Washington,46,female,106000,with,Worked at home
Washington,25,female,5600,with,"Car, truck, or van"
Washington,39,female,7600,with,NA
Oregon,28,male,75000,with,"Car, truck, or van"
Oregon,63,female,44900,with,"Car, truck, or van"
Washington,83,female,29500,with,NA
Oregon,50,female,0,without,NA
Washington,47,male,58010,with,"Car, truck, or van"
Washington,75,male,39500,with,NA
Washington,65,female,14000,with,NA
Washington,40,male,65000,with,"Car, truck, or van"
Washington,51,male,43900,with,"Car, truck, or van"
Washington,72,female,12300,with,NA
Oregon,67,male,218000,with,"Car, truck, or van"
Washington,53,female,22000,with,"Car, truck, or van"
Washington,36,male,38500,with,"Car, truck, or van"
Oregon,69,male,56400,with,"Car, truck, or van"
Washington,54,male,100000,with,"Car, truck, or van"
Washington,56,female,26600,with,"Car, truck, or van"
Washington,40,male,140000,with,"Car, truck, or van"
Washington,67,male,81400,with,NA
Oregon,68,female,7800,with,NA
Oregon,25,male,37000,with,"Car, truck, or van"
Oregon,54,female,47360,with,"Car, truck, or van"
Washington,50,female,60000,with,"Car, truck, or van"
Washington,54,male,201000,with,"Car, truck, or van"
Washington,47,male,65000,with,"Car, truck, or van"
Oregon,69,female,12400,with,NA
Washington,71,male,148400,with,"Car, truck, or van"
Oregon,40,female,25000,with,Bicycle
Washington,52,female,48900,without,"Car, truck, or van"
Washington,66,female,52060,with,"Car, truck, or van"
Washington,35,female,0,with,NA
Washington,56,male,50000,with,"Car, truck, or van"
Oregon,36,female,60000,with,Worked at home
Oregon,60,female,0,with,NA
Washington,75,female,19900,with,NA
Washington,64,female,110500,with,NA
Oregon,86,male,15700,with,NA
Oregon,68,female,49500,with,NA
Washington,58,female,14000,with,NA
Washington,54,female,9300,with,"Car, truck, or van"
Washington,40,female,7900,with,"Car, truck, or van"
Oregon,51,female,45000,with,NA
Washington,53,female,7000,with,NA
Oregon,78,female,21000,with,NA
Washington,49,male,65000,with,"Car, truck, or van"
Washington,53,female,105010,with,"Car, truck, or van"
Washington,44,male,51000,with,Bus or trolley bus
Washington,39,female,23800,with,"Car, truck, or van"
Washington,62,female,95000,with,Bicycle
Washington,60,female,0,with,NA
Washington,46,male,100000,with,"Car, truck, or van"
Washington,62,male,64000,with,"Car, truck, or van"
Oregon,36,female,48000,with,"Car, truck, or van"
Washington,54,female,51030,with,"Car, truck, or van"
Washington,45,female,86000,with,Other
Washington,62,male,65000,with,"Car, truck, or van"
Washington,64,male,90000,with,"Car, truck, or van"
Washington,86,female,6000,with,NA
Washington,26,female,15000,with,"Car, truck, or van"
Oregon,79,male,32100,with,NA
Oregon,35,male,24000,without,NA
Washington,61,male,72100,without,Other
Oregon,63,male,48000,with,"Car, truck, or van"
Oregon,61,male,75000,with,"Car, truck, or van"
Washington,30,female,61050,with,Worked at home
Oregon,46,male,80000,with,"Car, truck, or van"
Washington,45,male,150000,with,Worked at home
Washington,29,female,22000,with,"Car, truck, or van"
Washington,38,male,65000,with,"Car, truck, or van"
Washington,56,male,172000,with,"Car, truck, or van"
Washington,62,female,6700,with,NA
Washington,64,male,47000,with,NA
Washington,29,male,51000,with,"Car, truck, or van"
Washington,53,female,93500,with,"Car, truck, or van"
Washington,60,male,68000,with,"Car, truck, or van"
Washington,54,female,32000,with,"Car, truck, or van"
Washington,68,female,30500,with,NA
Washington,87,female,18900,with,NA
Washington,87,female,10000,with,NA
Oregon,54,male,20000,with,NA
Washington,36,male,65000,with,"Car, truck, or van"
Oregon,46,male,40000,with,"Car, truck, or van"
Washington,77,female,1800,with,NA
Oregon,88,female,150600,with,NA
Washington,44,male,100000,with,Walked
Oregon,87,female,22200,with,NA
Washington,74,female,56000,with,"Car, truck, or van"
Oregon,45,female,10000,with,NA
Washington,53,male,24000,with,NA
Oregon,59,male,30000,with,"Car, truck, or van"
Oregon,53,male,74600,with,"Car, truck, or van"
Washington,61,male,10000,with,NA
Washington,22,male,14300,with,"Car, truck, or van"
Washington,60,male,31000,with,"Car, truck, or van"
Oregon,63,female,162900,with,NA
Oregon,33,male,29800,with,"Car, truck, or van"
Oregon,80,male,21800,with,NA
Oregon,31,male,19200,without,"Car, truck, or van"
Washington,51,female,78000,with,"Car, truck, or van"
Washington,51,female,47400,with,"Car, truck, or van"
Oregon,45,female,0,with,NA
Washington,57,female,44500,with,"Car, truck, or van"
Oregon,69,female,64200,with,NA
Oregon,66,female,12420,with,"Car, truck, or van"
Washington,72,male,30000,with,NA
Oregon,21,male,3000,with,Worked at home
Washington,85,female,75600,with,"Car, truck, or van"
Washington,71,female,100000,with,NA
Washington,57,male,8820,with,NA
Washington,66,female,6600,with,NA
Washington,81,female,127400,with,NA
Oregon,81,male,64000,with,NA
Oregon,68,male,43500,with,NA
Oregon,80,male,25600,with,NA
Washington,71,female,26500,with,"Car, truck, or van"
Washington,64,male,30000,with,NA
Washington,37,male,22800,with,Walked
Oregon,41,male,80000,with,"Car, truck, or van"
Oregon,29,female,51600,with,"Car, truck, or van"
Oregon,33,male,48000,with,Bicycle
Washington,39,male,18000,with,NA
Oregon,39,female,0,without,NA
Washington,28,female,62000,with,"Car, truck, or van"
Washington,54,male,125000,with,"Car, truck, or van"
Washington,76,male,72600,with,NA
Oregon,76,male,24000,with,NA
Oregon,78,male,30000,with,NA
Washington,22,male,5000,with,"Car, truck, or van"
Washington,37,male,26300,with,Bus or trolley bus
Washington,42,female,13000,with,Worked at home
Oregon,58,male,35500,with,"Car, truck, or van"
Washington,57,female,15000,with,NA
Oregon,63,female,62000,with,"Car, truck, or van"
Washington,62,male,64200,with,"Car, truck, or van"
Washington,74,male,50000,with,NA
Oregon,35,female,28000,with,"Car, truck, or van"
Washington,21,male,23000,with,"Car, truck, or van"
Washington,50,male,32000,with,"Car, truck, or van"
Oregon,42,female,23000,with,"Car, truck, or van"
Washington,58,male,73000,with,"Car, truck, or van"
Oregon,66,female,68900,with,"Car, truck, or van"
Washington,75,female,62200,with,NA
Washington,51,male,23000,with,NA
Oregon,55,female,37650,with,"Car, truck, or van"
Washington,70,female,39100,with,NA
Oregon,59,male,250,with,NA
Oregon,58,female,10800,with,NA
Oregon,37,male,45000,with,Walked
Washington,61,male,45000,with,"Car, truck, or van"
Oregon,42,male,35000,with,Worked at home
Washington,26,female,0,with,NA
Washington,61,female,135000,with,"Car, truck, or van"
Oregon,30,female,80000,with,Other
Washington,58,female,8600,with,NA
Oregon,54,male,63000,with,"Car, truck, or van"
Oregon,49,male,80040,with,"Car, truck, or van"
Washington,62,male,65000,with,"Car, truck, or van"
Oregon,42,female,0,with,NA
Washington,40,female,75000,with,"Car, truck, or van"
Washington,83,male,45300,with,"Car, truck, or van"
Washington,44,male,275500,with,"Car, truck, or van"
Oregon,86,female,14400,with,NA
Oregon,26,female,29400,with,Worked at home
Washington,50,female,31000,with,"Car, truck, or van"
Washington,68,male,14900,with,NA
Washington,69,female,5600,with,NA
Washington,74,male,49000,with,NA
Washington,38,female,40830,with,"Car, truck, or van"
Oregon,38,male,30000,with,Bicycle
Washington,77,female,5500,with,NA
Washington,54,male,3000,with,NA
Oregon,85,male,17300,with,NA
Washington,29,female,65000,with,"Car, truck, or van"
Washington,27,male,39000,with,"Car, truck, or van"
Oregon,45,male,8700,with,NA
Oregon,66,female,10400,with,NA
Washington,78,female,37100,with,NA
Washington,63,female,15400,with,NA
Oregon,45,female,13500,without,Worked at home
Oregon,47,female,10500,with,NA
Oregon,70,male,61300,with,NA
Washington,30,male,32000,with,Bus or trolley bus
Washington,50,female,35000,with,"Car, truck, or van"
Washington,38,female,69000,with,"Car, truck, or van"
Oregon,32,male,75001,with,"Car, truck, or van"
Washington,54,female,30,with,NA
Oregon,43,female,70000,with,"Car, truck, or van"
Washington,59,male,318000,with,"Car, truck, or van"
Oregon,34,female,72500,with,"Car, truck, or van"
Oregon,77,female,65050,with,NA
Oregon,35,female,32000,with,"Car, truck, or van"
Washington,94,female,30400,with,NA
Washington,68,female,134900,with,NA
Washington,67,male,70000,with,NA
Washington,73,male,5800,with,NA
Washington,65,male,12600,with,NA
Oregon,58,male,36000,with,Walked
Washington,53,male,79600,with,"Car, truck, or van"
Oregon,79,male,47220,with,NA
Oregon,43,male,21450,with,"Car, truck, or van"
Washington,51,male,99500,with,"Car, truck, or van"
Washington,50,female,83000,with,"Car, truck, or van"
