"","DistrictName","DistrictCode","KinderTotal2020"
"193","Norfolk",2080000,133
"194","North Adams",2090000,112
"195","North Andover",2110000,322
"196","North Attleborough",2120000,279
"197","North Brookfield",2150000,39
"198","North Middlesex",7350000,236
"199","North Reading",2170000,196
"200","Northampton",2100000,183
"201","Northborough",2130000,172
"202","Northbridge",2140000,162
"203","Norton",2180000,165
"204","Norwell",2190000,168
"205","Norwood",2200000,272
"206","Oak Bluffs",2210000,35
"207","Old Sturbridge Academy Charter Public School (District)",35150000,40
"208","Orange",2230000,66
"209","Orleans",2240000,22
"210","Oxford",2260000,102
"211","Palmer",2270000,95
"212","Peabody",2290000,487
"213","Pelham",2300000,13
"214","Pembroke",2310000,177
"215","Pentucket",7450000,173
"216","Petersham",2340000,22
"217","Pioneer Charter School of Science (District)",4940000,60
"218","Pioneer Valley",7500000,35
"219","Pioneer Valley Chinese Immersion Charter (District)",4970000,44
"220","Pittsfield",2360000,390
"221","Plainville",2380000,85
"222","Plymouth",2390000,486
"223","Plympton",2400000,40
"224","Prospect Hill Academy Charter (District)",4870000,80
"225","Provincetown",2420000,9
"226","Quabbin",7530000,172
"227","Quaboag Regional",7780000,77
"228","Quincy",2430000,768
"229","Randolph",2440000,226
"230","Reading",2460000,318
"231","Revere",2480000,544
"232","Richmond",2490000,18
"233","River Valley Charter (District)",4820000,34
"234","Rochester",2500000,55
"235","Rockland",2510000,172
"236","Rockport",2520000,49
"237","Rowe",2530000,11
"238","Sabis International Charter (District)",4410000,105
"239","Salem",2580000,298
"240","Sandwich",2610000,155
"241","Saugus",2620000,178
"242","Savoy",2630000,7
"243","Scituate",2640000,221
"244","Seekonk",2650000,156
"245","Seven Hills Charter Public (District)",4860000,75
"246","Sharon",2660000,242
"247","Sherborn",2690000,65
"248","Shrewsbury",2710000,359
"249","Shutesbury",2720000,17
"250","Somerset",2730000,149
"251","Somerville",2740000,432
"252","South Hadley",2780000,126
"253","South Shore Charter Public (District)",4880000,75
"254","Southampton",2750000,60
"255","Southborough",2760000,140
"256","Southbridge",2770000,168
"257","Southern Berkshire",7650000,48
"258","Southwick-Tolland-Granville Regional School District",7660000,92
"259","Spencer-E Brookfield",7670000,116
"260","Springfield",2810000,1835
"261","Springfield Preparatory Charter School (District)",35100000,54
"262","Stoneham",2840000,178
"263","Stoughton",2850000,255
"264","Sturbridge",2870000,107
"265","Sudbury",2880000,279
"266","Sunderland",2890000,28
"267","Sutton",2900000,93
"268","Swampscott",2910000,162
"269","Swansea",2920000,153
"270","TEC Connections Academy Commonwealth Virtual School District",39020000,38
"271","Taunton",2930000,582
"272","Tewksbury",2950000,247
"273","Tisbury",2960000,32
"274","Topsfield",2980000,79
"275","Triton",7730000,160
"276","Truro",3000000,12
"277","Tyngsborough",3010000,116
"278","UP Academy Charter School of Dorchester (District)",35050000,59
"279","Up-Island Regional",7740000,32
"280","Uxbridge",3040000,127
"281","Wachusett",7750000,423
"282","Wakefield",3050000,261
"283","Wales",3060000,16
"284","Walpole",3070000,266
"285","Waltham",3080000,438
"286","Ware",3090000,86
"287","Wareham",3100000,198
"288","Watertown",3140000,221
"289","Wayland",3150000,202
"290","Webster",3160000,157
"291","Wellesley",3170000,327
"292","Wellfleet",3180000,19
"293","West Boylston",3220000,62
