household_id,state,person,age,total_income
69795,Oregon,wife,58,80000
70642,Washington,husband,77,51100
70642,Washington,wife,71,7800
70956,Washington,husband,32,22000
70956,Washington,wife,32,25200
70982,Washington,husband,36,36000
70982,Washington,wife,36,40000
71128,Oregon,husband,65,62900
71128,Oregon,wife,59,63900
71587,Oregon,husband,69,84000
71587,Oregon,wife,66,88400
72994,Oregon,husband,35,93000
72994,Oregon,wife,35,85000
73179,Washington,husband,64,85000
73179,Washington,wife,62,2200
73777,Oregon,husband,46,100000
73777,Oregon,wife,44,0
74730,Washington,husband,74,51400
74730,Washington,wife,72,18000
74785,Oregon,husband,51,160000
74785,Oregon,wife,47,45000
75022,Oregon,husband,56,130000
75022,Oregon,wife,51,89000
75141,Oregon,husband,57,40900
75141,Oregon,wife,72,82100
76378,Washington,husband,61,0
76378,Washington,wife,64,20000
76569,Oregon,husband,67,48600
76569,Oregon,wife,67,13200
77017,Washington,husband,69,65000
77017,Washington,wife,68,57100
78391,Washington,husband,49,33200
78391,Washington,wife,39,0
78483,Oregon,husband,75,33000
78483,Oregon,wife,74,23000
78523,Oregon,husband,68,86000
78523,Oregon,wife,66,4800
79589,Oregon,husband,55,45000
79589,Oregon,wife,46,10200
79639,Oregon,husband,72,76200
79639,Oregon,wife,70,23200
79885,Washington,husband,30,4500
79885,Washington,wife,27,31700
80339,Oregon,husband,70,1700
80339,Oregon,wife,67,7900
82183,Washington,husband,25,40000
82183,Washington,wife,25,50000
82241,Oregon,husband,46,10004
82241,Oregon,wife,41,70000
82700,Washington,husband,47,68000
82700,Washington,wife,45,32000
84431,Oregon,husband,74,69350
84431,Oregon,wife,71,7200
85075,Washington,husband,36,84000
85075,Washington,wife,35,0
85567,Oregon,husband,94,30300
85567,Oregon,wife,94,6100
85696,Oregon,husband,68,49000
85696,Oregon,wife,66,48000
86133,Oregon,husband,29,19200
86133,Oregon,wife,29,27300
86746,Washington,husband,73,52000
86746,Washington,wife,65,13200
87410,Washington,husband,64,56300
87410,Washington,wife,62,16900
88090,Washington,husband,84,43200
88090,Washington,wife,73,4
88277,Washington,husband,48,25000
88277,Washington,wife,45,25000
88944,Oregon,husband,57,101400
88944,Oregon,wife,45,85000
89793,Washington,husband,39,33900
89793,Washington,wife,44,10000
89881,Washington,husband,30,36000
89881,Washington,wife,41,28800
92916,Washington,husband,80,21300
92916,Washington,wife,76,7800
93340,Oregon,husband,74,18900
93340,Oregon,wife,73,4300
94896,Washington,husband,47,42000
94896,Washington,wife,47,40000
95224,Oregon,husband,36,145000
95224,Oregon,wife,36,0
95237,Washington,husband,40,30000
95237,Washington,wife,37,26300
95560,Washington,husband,38,107000
95560,Washington,wife,37,0
96181,Oregon,husband,29,25000
96181,Oregon,wife,28,11800
96926,Oregon,husband,50,47500
96926,Oregon,wife,51,46500
98009,Washington,husband,37,85000
98009,Washington,wife,40,0
100325,Oregon,husband,51,50000
100325,Oregon,wife,51,0
100709,Oregon,husband,62,70000
100709,Oregon,wife,59,0
100954,Oregon,husband,42,208110
100954,Oregon,wife,42,0
102200,Oregon,husband,39,40000
102200,Oregon,wife,33,40000
102219,Washington,husband,74,31500
102219,Washington,wife,73,21400
102393,Oregon,husband,72,52200
102393,Oregon,wife,68,36500
102664,Washington,husband,36,155400
102664,Washington,wife,30,140
103623,Oregon,husband,51,17100
103623,Oregon,wife,53,40700
103693,Oregon,husband,32,17000
103693,Oregon,wife,38,0
103706,Washington,husband,27,6400
103706,Washington,wife,24,0
105786,Oregon,husband,54,122900
105786,Oregon,wife,64,9600
108541,Washington,husband,67,54000
108541,Washington,wife,59,19000
108667,Washington,husband,71,81020
108667,Washington,wife,66,54420
109656,Oregon,husband,46,196900
109656,Oregon,wife,46,0
110464,Washington,husband,32,77000
110464,Washington,wife,29,86000
110676,Washington,husband,31,185500
110676,Washington,wife,36,0
111532,Oregon,husband,68,21400
111532,Oregon,wife,65,9100
111693,Washington,husband,65,39400
111693,Washington,wife,59,230
111800,Oregon,husband,34,90000
111800,Oregon,wife,34,25000
112665,Oregon,husband,76,23100
112665,Oregon,wife,77,0
113129,Oregon,husband,72,72200
113129,Oregon,wife,62,74560
113446,Washington,husband,54,107000
113446,Washington,wife,55,0
115325,Oregon,husband,38,49600
