DistrictName,DistrictCode,KinderTotal2018,
Petersham,02340000,8,
Pioneer Charter School of Science (District),04940000,67,
Pioneer Valley,07500000,60,
Pioneer Valley Chinese Immersion Charter (District),04970000,44,
Pittsfield,02360000,467,
Plainville,02380000,92,
Plymouth,02390000,496,
Plympton,02400000,30,
Prospect Hill Academy Charter (District),04870000,85,
Provincetown,02420000,7,
Quabbin,07530000,154,
Quaboag Regional,07780000,87,
Quincy,02430000,754,
Randolph,02440000,232,
Reading,02460000,293,
Revere,02480000,577,
Richmond,02490000,18,
River Valley Charter (District),04820000,32,
Rochester,02500000,73,
Rockland,02510000,164,
Rockport,02520000,52,
Rowe,02530000,8,
Sabis International Charter (District),04410000,107,
Salem,02580000,287,
Sandwich,02610000,164,
Saugus,02620000,188,
Savoy,02630000,9,
Scituate,02640000,211,
Seekonk,02650000,140,
Seven Hills Charter Public (District),04860000,61,
Sharon,02660000,214,
Sherborn,02690000,49,
Shrewsbury,02710000,354,
Shutesbury,02720000,11,
Silver Hill Horace Mann Charter (District),04770000,95,
Somerset,02730000,168,
Somerville,02740000,427,
South Hadley,02780000,133,
South Shore Charter Public (District),04880000,77,
Southampton,02750000,57,
Southborough,02760000,130,
Southbridge,02770000,166,
Southern Berkshire,07650000,42,
Southwick-Tolland-Granville Regional School District,07660000,102,
Spencer-E Brookfield,07670000,112,
Springfield,02810000,1880,
Springfield Preparatory Charter School (District),35100000,53,
Stoneham,02840000,173,
Stoughton,02850000,243,
Sturbridge,02870000,109,
Sudbury,02880000,242,
Sunderland,02890000,33,
Sutton,02900000,92,
Swampscott,02910000,159,
Swansea,02920000,157,
TEC Connections Academy Commonwealth Virtual School District,39020000,37,
Taunton,02930000,595,
Tewksbury,02950000,234,
Tisbury,02960000,24,
Topsfield,02980000,82,
Triton,07730000,162,
Truro,03000000,15,
Tyngsborough,03010000,76,
UP Academy Charter School of Dorchester (District),35050000,64,
Up-Island Regional,07740000,43,
Uxbridge,03040000,113,
Wachusett,07750000,379,
Wakefield,03050000,259,
Wales,03060000,21,
Walpole,03070000,260,
Waltham,03080000,487,
Ware,03090000,77,
Wareham,03100000,222,
Watertown,03140000,242,
Wayland,03150000,208,
Webster,03160000,140,
Wellesley,03170000,338,
Wellfleet,03180000,14,
West Boylston,03220000,65,
West Bridgewater,03230000,79,
West Springfield,03320000,282,
Westborough,03210000,261,
Westfield,03250000,308,
Westford,03260000,277,
Westhampton,03270000,8,
Weston,03300000,117,
Westport,03310000,103,
Westwood,03350000,201,
Weymouth,03360000,383,
Whately,03370000,17,
Whitman-Hanson,07800000,247,
Williamsburg,03400000,16,
Williamstown,03410000,56,
Wilmington,03420000,269,
Winchendon,03430000,110,
Winchester,03440000,304,
Winthrop,03460000,146,
Woburn,03470000,324,
Worcester,03480000,2110,
Worthington,03490000,13,
Wrentham,03500000,130,
